tool_id	biotools_id	filtered_on	reason	to_keep	EDAM_operations	EDAM_topics	description	has_biocontainers_infos	has_biotools_infos	has_galaxy_infos
scalepopgen	scalepopgen	EDAM_topics	Metagenomics in EDAM Topics	True	Essential dynamics, Genotyping, Principal component visualisation	DNA polymorphism, Genotype and phenotype, Metagenomics, Population genomics, Workflows	Bioinformatic workflow resources implemented in nextflow for comprehensive population genomic analyses.	False	True	False
spaligner	SPAligner	EDAM_topics	Metagenomics in EDAM Topics	True	De-novo assembly, Genome assembly, Mapping assembly	Mapping, Metagenomics, Sequence assembly	> HOMEPAGE MISSING! | Alignment of Long Diverged Molecular Sequences to Assembly Graphs | A bstract Background Graph-based representation of genome assemblies has been recently used in different applications from gene finding to haplotype separation. While most of these applications are based on the alignment of molecular sequences to assembly graphs, existing software tools for finding such alignments have important limitations. Results We present a novel SPAligner tool for aligning long diverged molecular sequences to assembly graphs and demonstrate that SPAligner is an efficient solution for mapping third generation sequencing data and can also facilitate the identification of known genes in complex metagenomic datasets. Conclusions Our work will facilitate accelerating the development of graph-based approaches in solving sequence to genome assembly alignment problem	False	True	False
epitoc2	epitoc2	biotools_description	profiled in bio.tools description	True	Essential dynamics, PTM site prediction, Standardisation and normalisation	DNA, Epigenetics, Imaging, Methylated DNA immunoprecipitation, Oncology	epiTOC2 is an R-script that aims to estimate the mitotic age of a sample profiled genome-wide at the DNA methylation level. It is based on a mitotic clock model where DNA methylation errors occuring during cell-division accrue in the adult stem cell pool of a tissue, allowing tracking of the number of stem-cell divisions. epiTOC2 not only estimates the cumulative number of stem-cell divisions, but also allows the intrinsic rate of stem-cell division per stem-cell per year to be estimated if the chronological age of the sample(s) is known.	False	True	False
navpa	navpa	biotools_description	ITS in bio.tools description	True		Genetics, Genomics, Informatics	Navpa is non-software, deriving its name from nav pa', Klingon for paper town. Paper towns were fictional entities historically used to detect copyright violation of published works such as maps. Navpa itself does nothing, including in genomics. However, It can be used to test that services building on bio.tools can handle the special case of a tool with no inputs, outputs or operations.	False	True	False
ipage	ipage	EDAM_topics	Metagenomics in EDAM Topics	True	Sequence analysis	DNA, Metagenomics, Whole genome sequencing	Powerful package which in conjunction with FIRE provides a complete meta-analysis of whole-genome datasets.	False	True	False
inflect	inflect	biotools_description	profiling in bio.tools description	True	Mass spectra calibration, Nucleic acid melting curve plotting, Protein quantification	Protein folding, stability and design, Protein interactions, Proteomics, Proteomics experiment, Sequence analysis	Optimizing Computational Workflows for Thermal Proteome Profiling Data Analysis.	False	True	False
rephine-drug	rephine-drug	biotools_description	profiles in bio.tools description	True	Copy number estimation, Gene expression profiling, Gene-set enrichment analysis	ChIP-seq, Gene expression, Gene transcripts, Oncology, Pharmacogenomics	RePhine is a method for identification of drug response related transcriptional regulators by modeling correlation patterns of targets. RePhine takes in pharmacogenomics data containing gene expression, copy number, mutation status, cancer type information and pharmacological profiles for estimation of associations between genes expression and drug response. It also takes in ChIP-seq data for target inference.	False	True	False
cramdb	cramdb	EDAM_topics	Metagenomics in EDAM Topics	True	Genome annotation, Query and retrieval	Genotype and phenotype, Metagenomics, Microbial ecology, Model organisms, Zoology	CRAMdb (a database for composition and roles of animal microbiome) is a comprehensive resource of curated and consistently annotated metagenomes for non-human animals	False	True	False
genelab	genelab	EDAM_topics	Metagenomics in EDAM Topics	True	Data retrieval, Deposition, RNA-Seq analysis	Epigenomics, Metabolomics, Metagenomics, Proteomics, Transcriptomics	"Interfaces for the exploration of space omics data.

The NASA GeneLab Data Processing team and Analysis Working Group members have created standard pipelines for processing omics data from spaceflight and space-relevant experiments. This repository contains the processing pipelines that have been standardized to date for the assay types indicated below."	False	True	False
strainflair	strainflair	EDAM_topics	Metagenomics in EDAM Topics	True	Expression analysis, Query and retrieval, Sequence assembly, Variant calling	Genotype and phenotype, Mapping, Metagenomics, Sequence assembly	"Strain-level profiling of metagenomic samples using variation graphs.

StrainFLAIR (STRAIN-level proFiLing using vArIation gRaph) is a tool for strain identification and quantification that uses variation graph representation of genes sequences. StrainFLAIR is sub-divided into two main parts: first, an indexing step that stores clusters of reference genes into variation graphs, and then, a query step using mapping of metagenomic reads to infere strain-level abundances in the queried sample. The input for indexation is a collection of complete genomes, draft genomes or metagenome-assembled genomes from which genes will be predicted. The input for query is the so-created graph and any read file."	False	True	False
genebreak	genebreak	biotools_description	profiles in bio.tools description	True	Variant calling	DNA structural variation, Sequence composition, complexity and repeats	Recurrent breakpoint gene detection on copy number aberration profiles.	False	True	False
guppy	guppy	biotools_description	ITS in bio.tools description	True	Sequence visualisation	Data visualisation, Genetics, Genomics, Sequencing	Program to visualize sequence annotation data of the genetic sequence data with graphical layout. This highly interactive program allows scrolling and zooming from the genomic landscape to discrete nucleic acid sequences. Its main function is quick rendering of data on a standalone personal computer to save the layout as a parsonal file. With optional link to the internet resources, and printing support, this program tries to make more greater use of computational media in research actitiviy.	False	True	False
rnaviralspades	rnaviralspades	EDAM_topics	Metatranscriptomics in EDAM Topics	True	Sequence assembly, Transcriptome assembly	Metatranscriptomics, Transcriptomics, Virology	rnaviralSPAdes - de novo assembler for transcriptomes, metatranscriptomes and metaviromes	False	True	False
soapmetas	soapmetas	EDAM_topics	Metagenomics in EDAM Topics	True	Clustering, Expression analysis, Standardisation and normalisation	Bioinformatics, Metagenomics, Sequencing, Taxonomy	"Profiling large metagenome datasets efficiently on distributed clusters.

An Apache SparkTM based tool for profiling large metagenome datasets accurately on distributed cluster.

""meph"" mode reference (recommended for new microbe communities where MetaPhlAn2 is preferable).

""comg"" mode reference (recommended for new samples of known microbe communities which has known gene set).

SOAPMetaS has been tested in the environments of local, Spark standalone cluster as well as YARN cluster. Users should download Spark and use spark-submit file to launch SOAPMetaS."	False	True	False
finefdr	finefdr	biotools_description	metaproteomics in bio.tools description	True	Protein identification, Tag-based peptide identification, Target-Decoy	Proteomics, Proteomics experiment, Sequence analysis, Small molecules, Taxonomy	Fine-grained Taxonomy-specific False Discovery Rates Control in Metaproteomics.	False	True	False
bioconductor-biostrings		biocontainers_keywords	profiling in BioContainers keywords	True			Gnu r string objects representing biological sequences	True	False	False
neuca	neuca	biotools_description	ITS in bio.tools description	True	Expression correlation analysis, Gene expression profiling, Visualisation	Cell biology, Machine learning, RNA-Seq, Transcriptomics	NeuCA is is a neural-network based method for scRNA-seq data annotation. It can automatically adjust its classification strategy depending on cell type correlations, to accurately annotate cell. NeuCA can automatically utilize the structure information of the cell types through a hierarchical tree to improve the annotation accuracy. It is especially helpful when the data contain closely correlated cell types.	False	True	False
mutspot	MutSpot	EDAM_operation	Read binning in EDAM Operations	True	Polymorphism detection, Read binning	Epigenomics, Genetic variation, Oncology	Detection of non-coding mutation hotspots in cancer genomes | Non-coding MUTation hotSPOT dectection in cancer genomes | The MutSpot R package systematically and unbiasedly scans cancer whole genomes to detect mutation hotspots. MutSpot first builds a background mutation model that corrects for covariates of mutation probability, such as local nucleotide context, replication timing and epigenomic features. Then MutSpot evaluates the mutation recurrence of focal DNA regions using a Poisson binomial model to account for varying mutation rates across different tumors. Mutation hotspots identified have significantly higher mutation recurrence compared to the background genomic mutation rate, suggesting positive selection in cancer and involvement in tumorigenesis	False	True	False
rescript	rescript	EDAM_topics	Metagenomics in EDAM Topics	True	Deposition, Genotyping, Sequence trimming, Taxonomic classification	Database management, Metagenomics, Microbial ecology, Sequencing, Taxonomy	"Reproducible sequence taxonomy reference database management for the masses.

REference Sequence annotation and CuRatIon Pipeline.

RESCRIPt is a python 3 package to support a variety of operations for managing and curating reference sequence databases, DNA/RNA sequence data, and taxonomic data."	False	True	False
imctools		biocontainers_description	profiller in BioContainers description	True			An image mass cytometry (imc) file conversion tool that aims to convert imc rawfiles (.mcd, .txt) into an intermediary ome.tiff, containing all the relevant metadata. further it contains tools to generate simpler tiff files that can be directly be used as input files for e.g. cellprofiller, ilastik, fiji etc	True	False	False
ncbi-amrfinderplus		biocontainers_description	amr in BioContainers description	True			AMRFinderPlus finds antimicrobial resistance and other genes in protein or nucleotide sequences.	True	False	False
ffas	ffas	EDAM_topics	Metagenomics in EDAM Topics	True	Gene expression profiling, Protein feature detection, Protein fold recognition, Sequence profile generation	Metagenomics, Protein folds and structural domains, Sequence analysis, Sequence sites, features and motifs, Structure prediction	The Fold & Function Assignment System (FFAS) takes an amino-acid sequence as input and generates a profile which is compared to several sets of sequence profiles including PDB, SCOP, and PFAM. Public metagenomic sequence data has been added to FFAS, so that the profile of a user's protein can be compared to 20 additional profile databases including several complete proteomes, etc.	False	True	False
bioconductor-nondetects		biocontainers_keywords	profiling in BioContainers keywords	True			Non-detects in qPCR data	True	False	False
nastybugs	nastybugs	biotools_description	metagenomic in bio.tools description	True	Antimicrobial resistance prediction	Microbiology	A Simple Method for Extracting Antimicrobial Resistance Information from  metagenomic sequencing data.	False	True	False
scissor	scissor	biotools_description	profile in bio.tools description	True	Alternative splicing prediction, Gene expression profiling, Standardisation and normalisation	Gene expression, Gene transcripts, Microarray experiment, RNA-Seq, Sequencing, Structural variation	"SCISSOR is a framework for identifying structural changes in RNA transcripts.

Shape Changes In Selecting Sample Outliers in RNA-seq.

SCISSOR (shape changes in selecting sample outliers in RNA-seq) aims for unsupervised screening of a range of structural alterations in RNA-seq data. SCISSOR considers a novel shape property of aligned short read data through a base-level pileup file. This intact and uncompressed view of RNA-seq profile enables the unbiased discovery of structural alterations by looking for anomalous shapes in expression. This approach holds promise for identifying otherwise obscured genetic aberrations. As a result, SCISSOR identifies known as well as novel aberrations including abnormal splicing, intra-/intergenic deletions, small indels, alternative transcription start/termination."	False	True	False
bioconductor-sigar		biocontainers_keywords	profiling in BioContainers keywords	True			Statistics for Integrative Genomics Analyses in R	True	False	False
rbpred	rbpred	biotools_description	ITS in bio.tools description	True	Analysis	Computational biology	‘RB-Pred’ web-based server, a first of its kind worldwide, is an attempt for forecasting leaf blast severity based on the weather variables which may help the farmers and plant pathologists in timely prediction of rice blast in their areas.	False	True	False
pheri	pheri	EDAM_topics	Metagenomics in EDAM Topics	True	Gene prediction	Infectious disease, Metagenomic sequencing, Metagenomics, Workflows	"Phage Host Exploration pipeline.

This repository is the source code of bioinformatics pipeline, which creates files used in Pheri program. We strongly recommend NOT to install this software on your server, as it is not needed for Pheri program and files created by this pipeline are already included in Pheri installation. This repository is meant for people, which would like to go into the details of our work.

This is repository of Phage Host ExploRatIon tool. The main purpose of this program is to predict phage hosts from sequence in FASTA format. Currently we are able to predict 8 host genera with very high accuracy (around 97%). These genera are Arthrobacter, Escherichia, Gordonia, Lactococcus, Mycobacterium, Pseudomonas, Staphylococcus, Streptococcus.

PHERI uses preprocessed data stored in the folder files. The whole preprocessing pipeline can be found here.

To install this tool please use our docker image."	False	True	False
virmet		biocontainers_description	metagenomics in BioContainers description	True			A pipeline for viral metagenomics	True	False	False
methpanel	methpanel	biotools_description	amplicon in bio.tools description	True	Gene methylation analysis, Methylation calling, Whole genome methylation analysis	Biomarkers, DNA, Epigenetics, Sequencing, Workflows	"A parallel pipeline and interactive analysis tool for multiplex bisulphite PCR sequencing to assess DNA methylation biomarker panels for disease detection.

MethPanel is a computational pipeline in Linux operating system with an interactive graphical interface for rapid analysis of multiplex bisulphite PCR sequencing data. The tool covers a complete analysis workflow from genomic alignment to DNA methylation calling and supports an unlimited number of PCR amplicons and input samples. Moreover MethPanel offers important and unique features, such as a epipolymorphism score and a bisulphite PCR bias correction. MethPanel can be run in parallel by samples on either a personal computer or a high performance computer. The outputs are automatically forwarded to a shinyApp for convenient display, visualisation and sharing of data with collaborators and clinicians."	False	True	False
bioconductor-dta		biocontainers_keywords	profiling in BioContainers keywords	True			Dynamic transcriptome analysis can monitor the cellular response to perturbations with higher sensitivity and temporal resolution than standard transcriptomics. the package implements the underlying kinetic modeling approach capable of the precise determination of synthesis and decay rates from individual microarray or rnaseq measurements.	True	False	False
bioconductor-mmdiff		biocontainers_description	profiles in BioContainers description	True			This package detects statistically significant difference between read enrichment profiles in different ChIP-Seq samples. To take advantage of shape differences it uses Kernel methods (Maximum Mean Discrepancy, MMD).	True	False	False
twistranscript	twistranscript	biotools_description	ITS in bio.tools description	True	Operon drawing, Operon prediction, Standardisation and normalisation	Gene structure, Model organisms, Transcription factors and regulatory sites	"TwisTranscripT: Simulation of the Transcription-Supercoiling Coupling in Bacteria.

This package aims at simulating the Transcription-Supercoiling Coupling (TSC) and its impact in gene expression in Bacteria. We used the Python programming language with the help of a Python-based scientific ecosystem for scientific computing. Equations, calibration and application of the model are described in El Houdaigui et al., NAR 2019. Topoisomerase parameters may be adapted for eukaryotes, but not yet tested."	False	True	False
qgg	qgg	biotools_description	profiling in bio.tools description	True	Genetic mapping, Genotyping, Quantification	Genetic variation, Mapping, Molecular interactions, pathways and networks, Quantitative genetics, Statistics and probability	"an R package for large-scale quantitative genetic analyses.

Statistical tools for Quantitative Genetic Analyses.

An R package for Quantitative Genetic and Genomic analyses.

Provides an infrastructure for efficient processing of large-scale genetic and phenotypic data including core functions for: 1) fitting linear mixed models, 2) constructing marker-based genomic relationship matrices, 3) estimating genetic parameters (heritability and correlation), 4) performing genomic prediction and genetic risk profiling, and 5) single or multi-marker association analyses. Rohde et al. (2019) <doi:10.1101/503631>.

The qgg package was developed based on the hypothesis that certain regions on the genome, so-called genomic features, may be enriched for causal variants affecting the trait. Several genomic feature classes can be formed based on previous studies and different sources of information such as genes, chromosomes or biological pathways"	False	True	False
mgmapper	mgmapper	EDAM_topics	Metagenomics in EDAM Topics	True	Nucleic acid sequence analysis, Sequence alignment	Metagenomics, Sequence analysis	Reference based mapping and taxonomy annotation of metagenomics sequence reads.	False	True	False
itsxpress	itsxpress	EDAM_topics	Metagenomics in EDAM Topics	True	Sequence trimming	Metagenomics, Microbial ecology	ITSxpress: Software to rapidly trim the Internally transcribed spacer (ITS) region of FASTQ files	True	True	False
img-abc	IMG-ABC	EDAM_topics	Metagenomics in EDAM Topics	True	Clustering, Gene prediction, Scaffolding	Biotechnology, Endocrinology and metabolism, Metabolomics, Metagenomics, Small molecules	"An update to the IMG/Atlas of Biosynthetic Gene Clusters Knowledgebase.

The public IMG/ABC site has limited features and tools."	False	True	False
riboviz2	riboviz2	biotools_description	profiling in bio.tools description	True	Demultiplexing, Gene expression profiling, Parsing, Quantification, Sequence trimming	Cell biology, Gene transcripts, RNA-Seq, Transcriptomics, Workflows	riboviz 2 is a flexible and robust ribosome profiling data analysis and visualization workflow. Ribosome profiling provides a detailed global snapshot of protein synthesis in a cell.	False	True	False
bioconductor-padog		biocontainers_keywords	profiling in BioContainers keywords	True			Pathway Analysis with Down-weighting of Overlapping Genes (PADOG)	True	False	False
circos	circos	biocontainers_keywords	metagenome in BioContainers keywords	True	Visualisation	Comparative genomics, Data visualisation	Circos is tool for visualizing data in a circular format. It was developed for genomic data but can work for many other kinds of data as well.	True	True	False
ipa	IPA	biotools_description	profiles in bio.tools description	True	Natural product identification	Metabolomics, Proteomics experiment	A Bayesian-Based Annotation Method for Metabolomic Profiles Integrating Biochemical Connections, Isotope Patterns, and Adduct Relationships | Integrated Probabilistic Annotation (IPA) - A Bayesian annotation method for LC/MS data integrating biochemical relations, isotope patterns and adduct formation	False	True	False
autoclasswrapper	autoclasswrapper	biotools_description	ITS in bio.tools description	True		Data mining, Gene and protein families, Omics	AutoClassWrapper: a Python wrapper for AutoClass C classification. AutoClass is an unsupervised Bayesian classification system and AutoClass C is its implementation in C made by the NASA. AutoClassWrapper is a Python wrapper to ease the use of Autoclass C.	False	True	False
tfmotifview	tfmotifview	biotools_description	metaplot in bio.tools description	True	Genome visualisation, Peak calling, Sequence motif recognition	ChIP-seq, Gene regulation, Model organisms, Sequence assembly, Transcription factors and regulatory sites	"a webserver for the visualization of transcription factor motifs in genomic regions.

TFmotifView is a web server that allows to study the distribution of known transcription factor (TF) motifs in genomic regions. Based on genomic regions of interest and selected TF motifs (settings), TFmotifView performs an overlap of the genomic regions with TF motif occurrences from the JASPAR database to generate three different outputs: (1) an enrichment table and scatterplot calculating the significance of motif occurrences in genomic regions compared to control regions, (2) a genomic view of the organisation of TF motifs in each genomic region including an option to export the motif positions into the UCSC genome browser, and (3) a metaplot summarising the position of TF motifs relative to the center of the regions."	False	True	False
structurechecker	structurechecker	biotools_description	profiler in bio.tools description	True	Filtering	Computational chemistry, Protein binding sites, Small molecules	StructureProfiler was developed as an all-in-one tool to screen structures based on selection criteria typically used upon dataset assembly for structure-based design methods. Test configurations based on either the Astex, the Iridium HT, the Platinum, or the combination of all three criteria catalogs. (Note that RSCC as an electron density validation criteria was replaced by EDIAm scoring).	False	True	False
osacc	OSacc	biotools_description	profiling in bio.tools description	True	Expression analysis, Visualisation	Biomarkers, Gene expression, Oncology, Protein expression, RNA-Seq	"Gene Expression-Based Survival Analysis Web Tool For Adrenocortical Carcinoma.

Gene expression profiling data with long-term clinical follow-up information are great resources to screen, develop, evaluate and validate prognostic biomarkers in translational cancer research. However, an easy-to-use interactive online tool is needed to analyze these profiling and clinical data. In the current work, we developed OSacc (Online consensus Survival analysis of ACC), a web tool that provides rapid and user-friendly survival analysis based on seven independent transcriptomic profiles with long-term clinical follow-up information of 259 ACC patients gathered from The Cancer Genome Atlas (TCGA) and Gene Expression Omnibus (GEO) databases. OSacc allows researchers and clinicians to evaluate the prognostic value of genes of interest by Kaplan-Meier (KM) survival plot with hazard ratio (HR) and log-rank test in ACC."	False	True	False
tulip	Tulip	EDAM_operation	Read binning in EDAM Operations	True	Peak calling, Quantification, Read binning	ChIP-seq, Epigenomics, Gene transcripts	Toolkit for rapidly simulating ChIP-seq data using statistical models of the experimental steps.	False	True	False
hamroaster	hamroaster	EDAM_topics	Metagenomics in EDAM Topics	True	Antimicrobial resistance prediction, Genotyping, Sequence assembly	Genotype and phenotype, Metagenomics, Public health and epidemiology, Sample collections, Workflows	Benchmarking software to predict antibiotic resistance phenotypes in shotgun metagenomes using simulated data.	False	True	False
selenoprofiles3	selenoprofiles3	biotools_description	profile-based in bio.tools description	True	Genome annotation	Sequence sites, features and motifs	Pipeline for profile-based protein finding in genomes.	False	True	False
mothul_krona	mothul_krona	EDAM_topics	Metagenomics in EDAM Topics	True	Formatting, Visualisation	Metagenomics, Phylogenomics	Converting mothur's taxonomy summaries into Krona-compatible XML files.	False	True	False
mpa-portable		biocontainers_keywords	metaproteomics in BioContainers keywords	True			MPA Portable is a light-weight and stand-alone software for the identification of proteins and in-depth analysis of metaproteomics (and also proteomics) data.	True	False	False
incidence	incidence	EDAM_operation	Read binning in EDAM Operations	True	Aggregation, Incident curve plotting, Read binning	Infectious disease, Public health and epidemiology	R package for computation and visualization of epicurves from unaggregated linelist data.	False	True	False
i-lbr	i-lbr	biotools_description	profile in bio.tools description	True	Expression analysis, Protein identification, Sequence profile alignment	Proteins, Sequence analysis, Structure analysis	"Identification of ligand-binding residues using protein sequence profile alignment and query-specific support vector machine model.

Information embedded in ligand-binding residues (LBRs) of proteins is important for understanding protein functions. How to accurately identify the potential ligand-binding residues is still a challenging problem, especially only protein sequence is given. In this paper, we establish a new query-specific computational method, named I-LBR, for the identification of LBRs without directly using the information of protein 3D structure. I-LBR includes two modes, named as I-LBRGP and I-LBRLS, for the general-purpose and ligand-specific LBR identification"	False	True	False
metassimulo	metassimulo	biotools_description	profiles in bio.tools description	True	Spectral analysis	Metabolomics, Molecular medicine, NMR	MATLAB-based package which simulates 1H-NMR spectra of complex mixtures such as metabolic profiles. Drawing data from a metabolite standard spectral database in conjunction with concentration information input by the user or constructed automatically from the Human Metabolome Database.	False	True	False
inetmodels	inetmodels	EDAM_topics	Metagenomics in EDAM Topics	True	Network visualisation, Pathway analysis, Query and retrieval	Metabolomics, Metagenomics, Molecular interactions, pathways and networks, Oncology, Proteomics	iNetModels is an interactive visualization and database of multi-omics data.	False	True	False
volta	volta	biotools_description	ITS in bio.tools description	True	Expression correlation analysis, Network analysis	Bioinformatics, Transcriptomics, Workflows	VOLTA is a Python network analysis package, suited for different types of networks but with a focus on co-expression network analysis. The goal of VOLTA is to provide all functionalities needed for a comprehensive network analysis and comparison in a single package. Its aim is to expose all functionalities in order to allow users to build their own analysis pipelines and adjust functionalities as needed. Additional complete analysis pipelines are provided in the form of Jupyter Notebooks.	False	True	False
plasforest	plasforest	biotools_description	plasmid in bio.tools description	True	Genome assembly, Scaffolding, Taxonomic classification	Mobile genetic elements, Sequence assembly, Workflows	"PlasForest is a homology-based random forest classifier for plasmid detection in genomic datasets.

A random forest classifier of contigs to identify contigs of plasmid origin in contig and scaffold genomes."	False	True	False
salmonella_crispr_typing	salmonella_crispr_typing	biotools_description	profile in bio.tools description	True	Sequence motif recognition	Microbiology, Sequence analysis	This tool gets a CRISPR profile by identifying the presence of known spacers and direct repeats (DRs) in a given sequence based on a catalogue.	False	True	False
dragom	dragom	EDAM_topics	Metagenomics in EDAM Topics	True	Expression analysis, Sequence assembly, Sequence trimming	Biomarkers, Functional, regulatory and non-coding RNA, Metagenomics, Microbial ecology, Sequence assembly	DRAGoM (Detection of RNA using Assembly Graph from Metagenomics data) is a tool for metagenomic noncoding RNA profiling and biomarker discovery. DRAGoM is a tool designed to predict and assemble ncRNA from next generation sequencing data.	False	True	False
bioconductor-nearbynding		biocontainers_description	profiles in BioContainers description	True			Provides a pipeline to discern RNA structure at and proximal to the site of protein binding within regions of the transcriptome defined by the user. CLIP protein-binding data can be input as either aligned BAM or peak-called bedGraph files. RNA structure can either be predicted internally from sequence or users have the option to input their own RNA structure data. RNA structure binding profiles can be visually and quantitatively compared across multiple formats.	True	False	False
tvc		biocontainers_keywords	metagenomics in BioContainers keywords	True			Genetic variant caller for ion torrent sequencing platforms	True	False	False
mtrader	mtrader	EDAM_topics	Metagenomics in EDAM Topics	True	Genotyping, Quantification, Regression analysis, Simulation analysis	Biomarkers, Metagenomics, Pathology	A robust and transformation-free joint model with matching and regularization for metagenomic trajectory and disease onset.	False	True	False
constax	constax	biotools_description	ITS in bio.tools description	True	Taxonomic classification	Taxonomy	Tool for improved taxonomic resolution of environmental fungal ITS sequences.	True	True	False
msviz	msviz	biotools_description	ITS in bio.tools description	True	Ion counting, Mass spectrum visualisation, Protein quantification, Spectral counting, Target-Decoy	Proteomics	Supports manual validation of post-translational modifications (PTMs) and their relative quantitation in small- and medium-size experiments. Thanks to its interactive interface MsViz can display peptide spectrum matches, sequence coverage information, or tandem mass spectrometry (MS/MS) spectra and extracted ion chromatograms. It allows easy and comprehensive visualization of small and medium bottom-up proteomics datasets.	False	True	False
cellcollective	cellcollective	biotools_description	ITS in bio.tools description	True	Modelling and simulation	Mathematics	The Cell Collective is a platform that allows the world-wide scientific community to create these models collectively. Its interface enables users to build and use models without specifying any mathematical equations or computer code - addressing one of the major hurdles with computational research. In addition, this platform allows scientists to simulate and analyze the models in real-time on the web, including the ability to simulate loss/gain of function and test what-if scenarios in real time.	False	True	False
rgalaxy	rgalaxy	biotools_description	ITS in bio.tools description	True	Loading	Sequencing	Given an R function and its manual page, make the documented function available in Galaxy.	False	True	False
bioconductor-a4core		biocontainers_keywords	profiling in BioContainers keywords	True			Automated Affymetrix Array Analysis Core Package	True	False	False
isfinder	isfinder	biotools_description	ITS in bio.tools description	True	Bibliography generation, Gene-set enrichment analysis, Genome indexing	Literature and language, Mobile genetic elements, Model organisms, Phylogeny, Sequencing	It is a dedicated insertion sequence (IS) database which assigns names to individual ISs to maintain a coherent nomenclature, an IS repositaory including >3000 individual ISs from both bacteria and archaea and provides a basis for IS classification. Each IS is indexed in ISfinder with various associated pieces of information and classified into a group or family to provide some insight into its phylogeny.	False	True	False
zga	zga	biocontainers_keywords	metagenome in BioContainers keywords	True	Genome annotation, Genome assembly, Read pre-processing	Genomics	"Prokaryotic genome assembly and annotation pipeline.

Wide range of supported reads: Illumina, Oxford Nanopore, PacBio, BGI.
Short read multi-threaded processing: QC, filtering, trimming, overlapped pairs merging.
Assembling from short reads, long reads or hybrid assembly using modern and powerful assemblers: SPAdes, Unicycler or Flye.
Quality control of assembly: completeness and contamination assessment with CheckM as well as PhiX detection.
Fast annotation of bacterial and archeal genome assemblies with DFAST .
No High Performance Computing needed. The pipeline works on laptop or desktop."	True	True	False
gutsmash	gutsmash	biotools_description	microbiome in bio.tools description	True	Clustering, Metabolic network modelling, Metabolic pathway prediction	Endocrinology and metabolism, Metabolomics, Microbial ecology, Molecular interactions, pathways and networks, Small molecules	gutSMASH web server is an automated identification of primary metabolic gene clusters from the gut microbiota. It is an approach to functionally profile the human microbiome for specialized primary metabolic gene clusters.	False	True	False
virstrain	virstrain	EDAM_topics	Metagenomics in EDAM Topics	True	Genotyping, Haplotype mapping, k-mer counting	Infectious disease, Metagenomics, Public health and epidemiology, RNA, Sequencing	"An RNA virus strain-level identification tool for short reads.

The output of VirStrain contains two files. The first is a report file in text format. This file contains all identified strains and their depth and site coverage, etc. The other file is an interactive HTML page to display the depth and uniqueness of sites."	False	True	False
microbiomer	MicrobiomeR	EDAM_topics	Metagenomics in EDAM Topics	True		Metagenomics, Microbial ecology	MicrobiomeR is an R package for microbiome analysis that incorporates phyloseq, metacoder, taxa, and microbiome in order to standardize and simplify common microbiome workflows.	False	True	False
scengea	SCeNGEA	biotools_description	ITS in bio.tools description	True	Essential dynamics, Expression analysis	Anatomy, Neurobiology, Transcriptomics	Expression profiling of the mature C. elegans nervous system by single-cell RNA-Sequencing | Abstract A single neuron and its synapses define the fundamental structural motif of the brain but the underlying gene expression programs that specify individual neuron types are poorly understood. To address this question in a model organism, we have produced a gene expression profile of >90% of the individual neuron classes in the C. elegans nervous system, an ensemble of neurons for which both the anatomy and connectivity are uniquely defined at single cell resolution. We generated single cell transcriptomes for 52,412 neurons that resolve as clusters corresponding to 109 of the canonical 118 neuron classes in the mature hermaphrodite nervous system. Detailed analysis revealed molecular signatures that further subdivide identified classes into specific neuronal subtypes	False	True	False
goat_bones-ml	goat_bones-ml	biotools_description	profiles in bio.tools description	True		Agricultural science, Endocrinology and metabolism, Machine learning, Nutritional science, Small molecules	"Machine learning classification models for fetal skeletal development performance prediction using maternal bone metabolic proteins in goats.

Machine Learning for goat bone prediction.

Classifiers for Liuyang black goats bone profiles using maternal serum bone metabolism.

Datasets and results will be uploaded after the manuscript will be send to a journal"	False	True	False
r-metacoder		biocontainers_keywords	metagenomics in BioContainers keywords	True			A set of tools for parsing, manipulating, and graphing data classified by a hierarchy	True	False	False
mpagenomics	mpagenomics	biotools_description	profiles in bio.tools description	True	Annotation, Gene expression analysis, Gene set testing, Microarray probe design, Nucleic acid feature detection, Sequence feature comparison	DNA polymorphism, Gene expression, Statistics and probability	A package for multi-patients analysis of genomic markers. It is devoted to (i) efficient segmentation and (ii) genomic marker selection from multi-patient copy number and SNP data profiles.	False	True	False
metabiome	metabiome	EDAM_topics	Metagenomics in EDAM Topics	True	Data retrieval, Gene expression profiling, Genome annotation, Protein modelling	Biotechnology, Enzymes, Metagenomics, Natural language processing	MetaBioiME is a web resource to find novel homologs for known Commercially Useful Enzymes (CUEs) in metagenomic datasets and completed bacterial genomes.	False	True	False
logikey	logikey	biotools_description	metaphysics in bio.tools description	True		Gene expression, Machine learning, Mathematics	"Deontic logics, logic combinations and expressive ethical and legal reasoning (Isabelle/HOL dataset).

LogiKEy Workbench (dataset of formalized knowledge): Flexible, Pluralistic Foundations for Legal and Ethical Reasoning, Metaphysics and Maths."	False	True	False
