package.name	keep	about.summary	about.description	about.home
msi	False	Metabarcoding sequences identification - from nanopore reads to taxa tables.		https://github.com/nunofonseca/msi
bioconductor-rcellminerdata	False	rcellminerData: Molecular Profiles and Drug Response for the NCI-60 Cell Lines	The NCI-60 cancer cell line panel has been used over the course of several decades as an anti-cancer drug screen. This panel was developed as part of the Developmental Therapeutics Program (DTP, http://dtp.nci.nih.gov/) of the U.S. National Cancer Institute (NCI). Thousands of compounds have been tested on the NCI-60, which have been extensively characterized by many platforms for gene and protein expression, copy number, mutation, and others (Reinhold, et al., 2012). The purpose of the CellMiner project (http://discover.nci.nih.gov/ cellminer) has been to integrate data from multiple platforms used to analyze the NCI-60 and to provide a powerful suite of tools for exploration of NCI-60 data.	https://bioconductor.org/packages/3.20/data/experiment/html/rcellminerData.html
centrifuge	False	Classifier for metagenomic sequences. Supports classifier scripts		https://github.com/DaehwanKimLab/centrifuge
autobigs-engine	False	A library to rapidly fetch fetch MLST profiles given sequences for various diseases.		https://github.com/Syph-and-VPD-Lab/autoBIGS.engine
parallel-meta-suite	False	Parallel-META-Suite is an interactive software package for rapid and comprehensive microbiome analysis.		https://github.com/qdu-bioinfo/parallel-meta-suite
bioconductor-tbsignatureprofiler	False	Profile RNA-Seq Data Using TB Pathway Signatures	Gene signatures of TB progression, TB disease, and other TB disease states have been validated and published previously. This package aggregates known signatures and provides computational tools to enlist their usage on other datasets. The TBSignatureProfiler makes it easy to profile RNA-Seq data using these signatures and includes common signature profiling tools including ASSIGN, GSVA, and ssGSEA. Original models for some gene signatures are also available.  A shiny app provides some functionality alongside for detailed command line accessibility.	https://bioconductor.org/packages/3.18/bioc/html/TBSignatureProfiler.html
bioconductor-phyloseq	False	Handling and analysis of high-throughput microbiome census data	phyloseq provides a set of classes and tools to facilitate the import, storage, analysis, and graphical display of microbiome census data.	https://bioconductor.org/packages/3.20/bioc/html/phyloseq.html
bamm	False	Metagenomics-focused BAM file manipulation.		https://github.com/Ecogenomics/BamM
longtrack	False	Track FMT strains using long-read metagenomic assemblies.		https://github.com/fanglab/LongTrack
bioconductor-connectivitymap	False	Functional connections between drugs, genes and diseases as revealed by common gene-expression changes	"The Broad Institute's Connectivity Map (cmap02) is a ""large reference catalogue of gene-expression data from cultured human cells perturbed with many chemicals and genetic reagents"", containing more than 7000 gene expression profiles and 1300 small molecules."	https://bioconductor.org/packages/3.20/data/experiment/html/ConnectivityMap.html
r-redeemr	False	R package for Regulatory multi-omics with Deep Mitochondrial mutation profiling.	Introduce a new approach for single-cell Regulatory multi-omics (transcriptomics and chromatin accessibility) with Deep Mitochondrial mutation profiling (~10-fold increase in detection rate), or ReDeeM. redeemR is the R package that facilitates mutation refining, lineage tracing, as well multiomics integration analysis.	https://github.com/chenweng1991/redeemR
savont	False	Amplicon sequencing variants (ASVs) and taxonomic profiling from modern long-read (nanopore + PacBio) amplicon sequencing with > 98% accuracy.		https://github.com/bluenote-1577/savont
bioconductor-microbiomeprofiler	False	An R/shiny package for microbiome functional enrichment analysis	This is an R/shiny package to perform functional enrichment analysis for microbiome data. This package was based on clusterProfiler. Moreover, MicrobiomeProfiler support KEGG enrichment analysis, COG enrichment analysis, Microbe-Disease association enrichment analysis, Metabo-Pathway analysis.	https://bioconductor.org/packages/3.20/bioc/html/MicrobiomeProfiler.html
disco	False	Multi-threaded Distributed Memory Overlap-Layout-Consensus (OLC) Metagenome Assembler.		http://disco.omicsbio.org
graph2pro-var	False	meta-proteogenomic identification from mass spec and metagenomic/transcriptomic data		https://github.com/COL-IU/graph2pro-var
bioconductor-doscheda	False	A DownStream Chemo-Proteomics Analysis Pipeline	Doscheda focuses on quantitative chemoproteomics used to determine protein interaction profiles of small molecules from whole cell or tissue lysates using Mass Spectrometry data. The package provides a shiny application to run the pipeline, several visualisations and a downloadable report of an experiment.	https://bioconductor.org/packages/3.20/bioc/html/Doscheda.html
madre	False	Strain-level metagenomic classification with Metagenome Assembly driven Database Reduction approach.		https://github.com/lbcb-sci/MADRe
kronik	False	Utility for processing Hardklor features to find candidate peptides by chromatographic profiling.		https://github.com/mhoopmann/kronik
kmetashot	False	Fast taxonomic classifier for metagenome bins/MAGs based on k-mer/minimizer		https://github.com/gdefazio/kMetaShot
primerclip	False	Swift Accel-Amplicon primer trimming tool for fast alignment-based primer trimming		https://github.com/swiftbiosciences/primerclip
addeam	False	A Fast and Scalable Tool for Estimating and Clustering Reference-Level Damage Profiles.		https://github.com/LouisPwr/AdDeam
bioconductor-metagene2	False	A package to produce metagene plots	This package produces metagene plots to compare coverages of sequencing experiments at selected groups of genomic regions. It can be used for such analyses as assessing the binding of DNA-interacting proteins at promoter regions or surveying antisense transcription over the length of a gene. The metagene2 package can manage all aspects of the analysis, from normalization of coverages to plot facetting according to experimental metadata. Bootstraping analysis is used to provide confidence intervals of per-sample mean coverages.	https://bioconductor.org/packages/3.20/bioc/html/metagene2.html
gentle	False	Software suite for DNA cloning.	"GENtle provides a GUI for amino acid editing, plasmid maps,
restriction and ligation, alignments, sequencer data import,
calculators, gel image display, PCR, and much more.
"	https://github.com/GENtle-persons/gentle-m
malt	False	A tool for mapping metagenomic data		http://ab.inf.uni-tuebingen.de/software/malt/
hmmer2	False	Biosequence analysis using profile hidden Markov models		http://hmmer.org/
bioconductor-bprmeth	False	Model higher-order methylation profiles	The BPRMeth package is a probabilistic method to quantify explicit features of methylation profiles, in a way that would make it easier to formally use such profiles in downstream modelling efforts, such as predicting gene expression levels or clustering genomic regions or cells according to their methylation profiles.	https://bioconductor.org/packages/3.20/bioc/html/BPRMeth.html
groopm	False	Metagenomic binning suite.		https://github.com/centre-for-microbiome-research/GroopM
bioconductor-nparc	False	Non-parametric analysis of response curves for thermal proteome profiling experiments	Perform non-parametric analysis of response curves as described by Childs, Bach, Franken et al. (2019): Non-parametric analysis of thermal proteome profiles reveals novel drug-binding proteins.	https://bioconductor.org/packages/3.20/bioc/html/NPARC.html
bioconductor-syntenet	False	Inference And Analysis Of Synteny Networks	syntenet can be used to infer synteny networks from whole-genome protein sequences and analyze them. Anchor pairs are detected with the MCScanX algorithm, which was ported to this package with the Rcpp framework for R and C++ integration. Anchor pairs from synteny analyses are treated as an undirected unweighted graph (i.e., a synteny network), and users can perform: i. network clustering; ii. phylogenomic profiling (by identifying which species contain which clusters) and; iii. microsynteny-based phylogeny reconstruction with maximum likelihood.	https://bioconductor.org/packages/3.20/bioc/html/syntenet.html
coptr	False	Accurate and robust inference of microbial growth dynamics from metagenomic sequencing reads.		https://github.com/tyjo/coptr
bioconductor-jaspar2024	False	Data package for JASPAR database (version 2024)	JASPAR (https://testjaspar.uio.no/) is a widely-used open-access database presenting manually curated high-quality and non-redundant DNA-binding profiles for transcription factors (TFs) across taxa. In this 10th release and 20th-anniversary update, the CORE collection has expanded with 329 new profiles. We updated three existing profiles and provided orthogonal support for 72 profiles from the previous release UNVALIDATED collection. Altogether, the JASPAR 2024 update provides a 20 percent increase in CORE profiles from the previous release. A trimming algorithm enhanced profiles by removing low information content flanking base pairs, which were likely uninformative (within the capacity of the PFM models) for TFBS predictions and modelling TF-DNA interactions. This release includes enhanced metadata, featuring a refined classification for plant TFs structural DNA-binding domains. The new JASPAR collections prompt updates to the genomic tracks of predicted TF-binding sites in 8 organisms, with human and mouse tracks available as native tracks in the UCSC Genome browser. All data are available through the JASPAR web interface and programmatically through its API and the updated Bioconductor and pyJASPAR packages. Finally, a new TFBS extraction tool enables users to retrieve predicted JASPAR TFBSs intersecting their genomic regions of interest.	https://bioconductor.org/packages/3.20/data/annotation/html/JASPAR2024.html
riboseq-rust	False	Ribo-seq Unit Step Transformation. Tools to characterise the determinants of ribosome profiling read density across mRNA. May be used to examine relative decoding rates and and for quality assessment		https://lapti.ucc.ie/rust/
mosca	False	MOSCA - Meta-Omics Software for Community Analysis	"MOSCA (portuguese for fly) is a pipeline designed for performing metagenomics (MG),
metatranscriptomics (MT) and metaproteomics (MP) integrated data analysis, 
in a mostly local and fully automated workflow. Metagenomics is used to build 
a reference database for MT and MP, beginning with preprocessing of data for
removal of Illumina adapters and lower quality regions, folowed by assembly
of reads into contigs, gene calling on the contigs and homology-based and 
domain-based annotation of identified proteins, using the UniProt and COG 
databases, respectively. If available, MT reads are then aligned to the ORFs 
for gene expression quantification, and MP spectra are submitted for
Peptide-to-Spectrum matching, with the annotated ORFs as reference database.
Final steps include differential expression analysis for both MT and MP, and
metabolic pathways analysis through KEGG Pathways.
"	https://github.com/iquasere/MOSCA
hicberg	False	Statistical profiling based tool for contact data (Hi-C, ChIA-PET, Capture-C, etc.) and genomics data reconstruction		https://github.com/sebgra/hicberg
sipros	False	Tools for stable isotopic mass spectrometry-based metaproteomics	"""Tools for stable isotopic mass spectrometry-based metaproteomics research developed by Sipros team.""
"	https://github.com/thepanlab/sipros5/
marvd2	False	Metagenomic Archaeal Virus Detector 2		https://bitbucket.org/MAVERICLab/marvd2
metacoag	False	MetaCoAG: Binning Metagenomic Contigs via Composition, Coverage and Assembly Graphs	"MetaCoAG is a metagenomic contig binning tool that makes use of the connectivity information found in assembly graphs.
"	https://github.com/metagentools/MetaCoAG
baktfold	False	Rapid & standardized annotation of bacterial genomes, MAGs & plasmids using protein structural information		https://github.com/gbouras13/baktfold
pstrain	False	An Iterative Microbial Strains Profiling Algorithm for Shotgun Metagenomic Sequencing Data		https://github.com/wshuai294/PStrain
chexalign	False	ChExAlign is used for alignment and quantification of ChIP-exo crosslinking patterns.	ChExAlign is a computational framework that aligns ChIP-exo crosslinking patterns from multiple proteins across a set of regulatory regions, and which detects and quantifies protein-DNA crosslinking events within the aligned profiles. The output of the alignment approach is a set of composite profiles that represent the crosslinking signatures of the complex across analyzed regulatory regions. We then use a probabilistic mixture model to deconvolve individual crosslinking events within the aligned ChIP-exo profiles, enabling consistent measurements of protein-DNA crosslinking strengths across multiple proteins.	https://github.com/seqcode/chexalign
bioconductor-smap	False	A Segmental Maximum A Posteriori Approach to Array-CGH Copy Number Profiling	Functions and classes for DNA copy number profiling of array-CGH data	https://bioconductor.org/packages/3.18/bioc/html/SMAP.html
bioconductor-amountain	False	Active modules for multilayer weighted gene co-expression networks: a continuous optimization approach	A pure data-driven gene network, weighted gene co-expression network (WGCN) could be constructed only from expression profile. Different layers in such networks may represent different time points, multiple conditions or various species. AMOUNTAIN aims to search active modules in multi-layer WGCN using a continuous optimization approach.	https://bioconductor.org/packages/3.20/bioc/html/AMOUNTAIN.html
lorikeet-genome	False	Metagenomic Variant Calling & Diversity Analysis	Lorikeet aims to call variants in metagenomes using local reassembly of haplotypes.	https://github.com/rhysnewell/Lorikeet
strainr2	False	StrainR2 accurately deconvolutes strain-level abundances in synthetic microbial communities using metagenomic sequencing reads		https://github.com/BisanzLab/StrainR2
bioconductor-rcellminer	False	rcellminer: Molecular Profiles, Drug Response, and Chemical Structures for the NCI-60 Cell Lines	The NCI-60 cancer cell line panel has been used over the course of several decades as an anti-cancer drug screen. This panel was developed as part of the Developmental Therapeutics Program (DTP, http://dtp.nci.nih.gov/) of the U.S. National Cancer Institute (NCI). Thousands of compounds have been tested on the NCI-60, which have been extensively characterized by many platforms for gene and protein expression, copy number, mutation, and others (Reinhold, et al., 2012). The purpose of the CellMiner project (http://discover.nci.nih.gov/ cellminer) has been to integrate data from multiple platforms used to analyze the NCI-60 and to provide a powerful suite of tools for exploration of NCI-60 data.	https://bioconductor.org/packages/3.20/bioc/html/rcellminer.html
bioconductor-scanvis	False	SCANVIS - a tool for SCoring, ANnotating and VISualizing splice junctions	"SCANVIS is a set of annotation-dependent tools for analyzing splice junctions and their read support as predetermined by an alignment tool of choice (for example, STAR aligner). SCANVIS assesses each junction's relative read support (RRS) by relating to the context of local split reads aligning to annotated transcripts. SCANVIS also annotates each splice junction by indicating whether the junction is supported by annotation or not, and if not, what type of junction it is (e.g. exon skipping, alternative 5' or 3' events, Novel Exons). Unannotated junctions are also futher annotated by indicating whether it induces a frame shift or not. SCANVIS includes a visualization function to generate static sashimi-style plots depicting relative read support and number of split reads using arc thickness and arc heights, making it easy for users to spot well-supported junctions. These plots also clearly delineate unannotated junctions from annotated ones using designated color schemes, and users can also highlight splice junctions of choice. Variants and/or a read profile are also incoroporated into the plot if the user supplies variants in bed format and/or the BAM file. One further feature of the visualization function is that users can submit multiple samples of a certain disease or cohort to generate a single plot - this occurs via a ""merge"" function wherein junction details over multiple samples are merged to generate a single sashimi plot, which is useful when contrasting cohorots (eg. disease vs control)."	https://bioconductor.org/packages/3.20/bioc/html/SCANVIS.html
strainy	False	Assembly-based metagenomic strain phasing using long reads.		https://github.com/katerinakazantseva/strainy
contigtax	False	Assign taxonomy to metagenomic contigs (previously know as tango)		https://github.com/NBISweden/contigtax
enviroampdesigner	False	Tool for training model and classifying reads from environmental ONT amplicon sequencing.	"Tool for training model and classifying reads from environmental ONT amplicon sequencing. 
"	https://github.com/AntonS-bio/EnviroAmpDesigner
deblur	False	Deblur is a greedy deconvolution algorithm based on known read error profiles.		https://github.com/biocore/deblur
virmet	False	A pipeline for viral metagenomics	"VirMet is a Python package for viral metagenomics analysis in clinical applications.
It includes command-line utilities and depends on common bioinformatics tools.
"	https://github.com/medvir/VirMet
perl-authen-sasl-saslprep	False	A Stringprep Profile for User Names and Passwords (RFC 4013)		http://metacpan.org/pod/Authen-SASL-SASLprep
deepmased	False	Deep learning for Metagenome Assembly Error Detection	"Deep learning for Metagenome Assembly Error Detection
 See README for more information."	https://github.com/leylabmpi/DeepMAsED
colorid_bv	False	Experiments with using BIGSI data structure for metagenomic and QC applications		https://github.com/hcdenbakker/colorid_bv
semeta	False	"SeMeta is a new software for taxonomic assignment of metagenomic reads. It
supports both single-end and paired-end reads. The software is implemented
in C++
"		http://it.hcmute.edu.vn/bioinfo/metapro/SeMeta.html
spingo	False	Species level IdentificatioN of metaGenOmic amplicons		https://github.com/GuyAllard/SPINGO
phiercc	False	Hierarchical Clustering of cgMLST profiles		https://github.com/zheminzhou/pHierCC
bioconductor-annotationtools	False	Annotate microarrays and perform cross-species gene expression analyses using flat file databases	Functions to annotate microarrays, find orthologs, and integrate heterogeneous gene expression profiles using annotation and other molecular biology information available as flat file database (plain text files).	https://bioconductor.org/packages/3.20/bioc/html/annotationTools.html
rappas	False	RAPPAS (Rapid Alignment-free Phylogenetic PLacement via Ancestral Sequences) is a program dedicated to Phylogenetic Placement of (meta)genomic reads on a reference tree. As apposed to previous PP programs, RAPPAS is based on the phylo-kmers idea, detailed in tis manuscript and uses a 2 step approach divided into a) the database build, and b) the placement itself. The main advantage of RAPPAS is that it is alignment free, which means that after step (a) (the DB build) is performed, metagenomic reads can be directly placed on a referene tree WITHOUT aligning them to the reference alignment on which the tree was built (as required by other approaches). The second advantage of RAPPAS is its algorithm based on phylo-kmers matches, making its execution time linear with respect to the length of the placed sequences.		https://github.com/blinard-BIOINFO/RAPPAS
plasann	False	A tool for plasmid annotation and visualization.	"A comprehensive tool for annotating plasmid sequences, identifying coding
sequences, detecting origins of replication and transfer, and generating
plasmid maps.

For Mac (Apple Silicon) users, please install these additional dependencies:
- brew install blast
- brew install brewsci/bio/prodigal

Please ensure both tools are available in your PATH before running PlasAnn.
"	https://github.com/ajlopatkin/PlasAnn
crabs	False	Crabs (Creating Reference databases for Amplicon-Based Sequencing) is a program to download and curate reference databases for eDNA metabarcoding analyses.		https://github.com/gjeunen/reference_database_creator
mintmap	False	Generate tRF profiles from short RNA-Seq datasets		https://github.com/TJU-CMC-Org/MINTmap
motus	False	Marker gene-based OTU (mOTU) profiling		http://motu-tool.org/
bioconductor-stdeconvolve	False	Reference-free Cell-Type Deconvolution of Multi-Cellular Spatially Resolved Transcriptomics Data	STdeconvolve as an unsupervised, reference-free approach to infer latent cell-type proportions and transcriptional profiles within multi-cellular spatially-resolved pixels from spatial transcriptomics (ST) datasets. STdeconvolve builds on latent Dirichlet allocation (LDA), a generative statistical model commonly used in natural language processing for discovering latent topics in collections of documents. In the context of natural language processing, given a count matrix of words in documents, LDA infers the distribution of words for each topic and the distribution of topics in each document. In the context of ST data, given a count matrix of gene expression in multi-cellular ST pixels, STdeconvolve applies LDA to infer the putative transcriptional profile for each cell-type and the proportional representation of each cell-type in each multi-cellular ST pixel.	https://bioconductor.org/packages/3.18/bioc/html/STdeconvolve.html
bioconductor-microbiotaprocess	False	A comprehensive R package for managing and analyzing microbiome and other ecological data within the tidy framework	MicrobiotaProcess is an R package for analysis, visualization and biomarker discovery of microbial datasets. It introduces MPSE class, this make it more interoperable with the existing computing ecosystem. Moreover, it introduces a tidy microbiome data structure paradigm and analysis grammar. It provides a wide variety of microbiome data analysis procedures under the unified and common framework (tidy-like framework).	https://bioconductor.org/packages/3.20/bioc/html/MicrobiotaProcess.html
metameta	False	MetaMeta - pipeline for integrating metagenome analysis tools to improve taxonomic profiling		https://github.com/pirovc/metameta/
bindash	False	Fast and precise comparison of genomes and metagenomes (in the order of terabytes) on a typical personal laptop.		https://github.com/zhaoxiaofei/bindash
bioconductor-scdiagnostics	False	Cell type annotation diagnostics	The scDiagnostics package provides diagnostic plots to assess the quality of cell type assignments from single cell gene expression profiles. The implemented functionality allows to assess the reliability of cell type annotations, investigate gene expression patterns, and explore relationships between different cell types in query and reference datasets allowing users to detect potential misalignments between reference and query datasets. The package also provides visualization capabilities for diagnostics purposes.	https://bioconductor.org/packages/3.20/bioc/html/scDiagnostics.html
unifrac-binaries	False	Fast phylogenetic diversity calculations	"UniFrac is a commonly phylogenetic diversity distance metric used in
microbiome research. The metric relates two microbiome samples together
within the context of an evolutionary history, and produces a distance
that corresponds to how similar two samples by the amount of overlapping
branch length. This package contains command line utilities and
a shared library.
"	https://github.com/biocore/unifrac-binaries
zamp	False	zAMP: bioinformatic pipeline designed for convenient, reproducible and scalable amplicon-based metagenomics		https://github.com/metagenlab/zAMP/
bioconductor-bobafit	False	Refitting diploid region profiles using a clustering procedure	This package provides a method to refit and correct the diploid region in copy number profiles. It uses a clustering algorithm to identify pathology-specific normal (diploid) chromosomes and then use their copy number signal to refit the whole profile.  The package is composed by three functions: DRrefit (the main function), ComputeNormalChromosome and PlotCluster.	https://bioconductor.org/packages/3.20/bioc/html/BOBaFIT.html
bioconductor-jaspar2022	False	Data package for JASPAR database (version 2022)	JASPAR is an open-access database containing manually curated, non-redundant transcription factor (TF) binding profiles for TFs across six taxonomic groups. In this 9th release, we expanded the CORE collection with 341 new profiles (148 for plants, 101 for vertebrates, 85 for urochordates, and 7 for insects), which corresponds to a 19% expansion over the previous release. To search thisdatabases, please use the package TFBSTools (>= 1.31.2).	https://bioconductor.org/packages/3.20/data/annotation/html/JASPAR2022.html
bioconductor-similarpeak	False	Metrics to estimate a level of similarity between two ChIP-Seq profiles	This package calculates metrics which quantify the level of similarity between ChIP-Seq profiles. More specifically, the package implements six pseudometrics specialized in pattern similarity detection in ChIP-Seq profiles.	https://bioconductor.org/packages/3.20/bioc/html/similaRpeak.html
bioconductor-mia	False	Microbiome analysis	mia implements tools for microbiome analysis based on the SummarizedExperiment, SingleCellExperiment and TreeSummarizedExperiment infrastructure. Data wrangling and analysis in the context of taxonomic data is the main scope. Additional functions for common task are implemented such as community indices calculation and summarization.	https://bioconductor.org/packages/3.20/bioc/html/mia.html
centrifuger	False	Lossless compression of microbial genomes for efficient and accurate metagenomic sequence classification.		https://github.com/mourisl/centrifuger
bioconductor-mslp	False	Predict synthetic lethal partners of tumour mutations	An integrated pipeline to predict the potential synthetic lethality partners (SLPs) of tumour mutations, based on gene expression, mutation profiling and cell line genetic screens data. It has builtd-in support for data from cBioPortal. The primary SLPs correlating with muations in WT and compensating for the loss of function of mutations are predicted by random forest based methods (GENIE3) and Rank Products, respectively. Genetic screens are employed to identfy consensus SLPs leads to reduced cell viability when perturbed.	https://bioconductor.org/packages/3.20/bioc/html/mslp.html
bioconductor-massspecwavelet	False	Peak Detection for Mass Spectrometry data using wavelet-based algorithms	Peak Detection in Mass Spectrometry data is one of the important preprocessing steps. The performance of peak detection affects subsequent processes, including protein identification, profile alignment and biomarker identification. Using Continuous Wavelet Transform (CWT), this package provides a reliable algorithm for peak detection that does not require any type of smoothing or previous baseline correction method, providing more consistent results for different spectra. See <doi:10.1093/bioinformatics/btl355} for further details.	https://bioconductor.org/packages/3.20/bioc/html/MassSpecWavelet.html
behst	False	BEHST reads an input dataset of chromosome regions, and intersects them with the chromatin interactions available in the Hi-C dataset. Of these chromosome regions, BEHST selects those that are presentthe regulatory regions of genes of APPRIS, a dataset of principal isoform annotations. We defined these cis-regulatory regions upon the position of their nearest transcription start site of the APPRIS genes' principal transcripts (obtained through GENCODE), plus an upstream and downstream extension. Afterwards, BEHST takes the genes of the resulting partner loci found in gene regulatory regions, and performs a gene set enrichment analysis on them through g:Profiler. BEHST, finally, outputs the list of the most significant Gene Ontology terms detected by g:Profiler. Citation: Davide Chicco, Haixin Sarah Bi, Juri Reimand, and Michael M. Hoffman, 'BEHST: Genomic set enrichment analysis enhanced through integration of chromatin long-range interactions', 2018. In preparation. Website: http://behst.hoffmanlab.org/ 		https://bitbucket.org/hoffmanlab/behst/overview
mqc	False	qualtiy control tool to assess the mapping quality of a ribosome profiling experiment		https://github.com/Biobix/mQC
intemap	False	Integrated metagenomic assembly pipeline for short reads		http://cqb.pku.edu.cn/ZhuLab/InteMAP/index.html
bioconductor-screpertoire	False	A toolkit for single-cell immune receptor profiling	scRepertoire is a toolkit for processing and analyzing single-cell T-cell receptor (TCR) and immunoglobulin (Ig). The scRepertoire framework supports use of 10x, AIRR, BD, MiXCR, Omniscope, TRUST4, and WAT3R single-cell formats. The functionality includes basic clonal analyses, repertoire summaries, distance-based clustering and interaction with the popular Seurat and SingleCellExperiment/Bioconductor R workflows.	https://bioconductor.org/packages/3.20/bioc/html/scRepertoire.html
bioconductor-drugvsdisease	False	Comparison of disease and drug profiles using Gene set Enrichment Analysis	This package generates ranked lists of differential gene expression for either disease or drug profiles. Input data can be downloaded from Array Express or GEO, or from local CEL files. Ranked lists of differential expression and associated p-values are calculated using Limma. Enrichment scores (Subramanian et al. PNAS 2005) are calculated to a reference set of default drug or disease profiles, or a set of custom data supplied by the user. Network visualisation of significant scores are output in Cytoscape format.	https://bioconductor.org/packages/3.20/bioc/html/DrugVsDisease.html
metaplatanus	False	MetaPlatanus: A hybrid metagenome assembler		https://github.com/rkajitani/metaplatanus
yacht	False	YACHT is a mathematically rigorous hypothesis test for the presence or absence of organisms in a metagenomic sample, based on average nucleotide identity (ANI).		https://github.com/KoslickiLab/YACHT
ptrimmer	False	Used to trim off the primer sequence from mutiplex amplicon sequencing		https://github.com/DMU-lilab/pTrimmer
kmertools	False	kmertools: DNA Vectorisation Tool	kmertools is a k-mer based feature extraction tool designed to support metagenomics and other bioinformatics analytics.	https://github.com/anuradhawick/kmertools
bioconductor-miaviz	False	Microbiome Analysis Plotting and Visualization	The miaViz package implements functions to visualize TreeSummarizedExperiment objects especially in the context of microbiome analysis. Part of the mia family of R/Bioconductor packages.	https://bioconductor.org/packages/3.20/bioc/html/miaViz.html
genome_profiler	False	Prokaryotic genome and plasmid profiling pipeline.		https://github.com/Syrinx55/GenomeProfiler
transgenescan	False	Software tool for finding genes in assembled transcripts from metatranscriptomic sequences.		https://github.com/COL-IU/TransGeneScan
whokaryote	False	Classify metagenomic contigs as eukaryotic or prokaryotic	"Whokaryote uses a random forest classifier that uses gene-structure based
features and optionally Tiara predictions to predict whether a contig is
from a eukaryote or from a prokaryote. You can use Whokaryote to determine
which contigs need eukaryotic gene prediction and which need prokaryotic
gene prediction.
"	https://github.com/LottePronk/whokaryote
hdmi	False	HDMI: HGT detection from MAGs in individuals		https://github.com/HaoranPeng21/HDMI
ampd-up	False	De novo antimicrobial peptide sequence generation with recurrent neural networks		https://github.com/bcgsc/AMPd-Up
bioconductor-mistyr	False	Multiview Intercellular SpaTial modeling framework	mistyR is an implementation of the Multiview Intercellular SpaTialmodeling framework (MISTy). MISTy is an explainable machine learning framework for knowledge extraction and analysis of single-cell, highly multiplexed, spatially resolved data. MISTy facilitates an in-depth understanding of marker interactions by profiling the intra- and intercellular relationships. MISTy is a flexible framework able to process a custom number of views. Each of these views can describe a different spatial context, i.e., define a relationship among the observed expressions of the markers, such as intracellular regulation or paracrine regulation, but also, the views can also capture cell-type specific relationships, capture relations between functional footprints or focus on relations between different anatomical regions. Each MISTy view is considered as a potential source of variability in the measured marker expressions. Each MISTy view is then analyzed for its contribution to the total expression of each marker and is explained in terms of the interactions with other measurements that led to the observed contribution.	https://bioconductor.org/packages/3.20/bioc/html/mistyR.html
metabinkit	False	Set of programs to perform taxonomic binning.		https://github.com/envmetagen/metabinkit
plasmar	False	Plasmid Like Assembly Sequence Matching Algorithm for Resistance (PLASMAR)		https://https://github.com/rastanton/PLASMAR
bioconductor-phyloprofiledata	False	Data package for phylogenetic profile analysis using PhyloProfile tool	Two experimental datasets to illustrate running and analysing phylogenetic profiles with PhyloProfile package.	https://bioconductor.org/packages/3.20/data/experiment/html/PhyloProfileData.html
bioconductor-spotlight	False	`SPOTlight`: Spatial Transcriptomics Deconvolution	`SPOTlight`provides a method to deconvolute spatial transcriptomics spots using a seeded NMF approach along with visualization tools to assess the results. Spatially resolved gene expression profiles are key to understand tissue organization and function. However, novel spatial transcriptomics (ST) profiling techniques lack single-cell resolution and require a combination with single-cell RNA sequencing (scRNA-seq) information to deconvolute the spatially indexed datasets. Leveraging the strengths of both data types, we developed SPOTlight, a computational tool that enables the integration of ST with scRNA-seq data to infer the location of cell types and states within a complex tissue. SPOTlight is centered around a seeded non-negative matrix factorization (NMF) regression, initialized using cell-type marker genes and non-negative least squares (NNLS) to subsequently deconvolute ST capture locations (spots).	https://bioconductor.org/packages/3.20/bioc/html/SPOTlight.html
bioconductor-miqc	False	Flexible, probabilistic metrics for quality control of scRNA-seq data	Single-cell RNA-sequencing (scRNA-seq) has made it possible to profile gene expression in tissues at high resolution.  An important preprocessing step prior to performing downstream analyses is to identify and remove cells with poor or degraded sample quality using quality control (QC) metrics.  Two widely used QC metrics to identify a ‘low-quality’ cell are (i) if the cell includes a high proportion of reads that map to mitochondrial DNA encoded genes (mtDNA) and (ii) if a small number of genes are detected. miQC is data-driven QC metric that jointly models both the proportion of reads mapping to mtDNA and the number of detected genes with mixture models in a probabilistic framework to predict the low-quality cells in a given dataset.	https://bioconductor.org/packages/3.20/bioc/html/miQC.html
mammal	False	Accelerated Estimation of Frequency Classes in Site-heterogeneous Profile Mixture Models		https://www.mathstat.dal.ca/~tsusko/doc/mammal.pdf
galah	False	Galah aims to be a more scalable metagenome assembled genome (MAG) dereplication method.		https://github.com/wwood/galah
bioconductor-adapt	False	Analysis of Microbiome Differential Abundance by Pooling Tobit Models	ADAPT carries out differential abundance analysis for microbiome metagenomics data in phyloseq format. It has two innovations. One is to treat zero counts as left censored and use Tobit models for log count ratios. The other is an innovative way to find non-differentially abundant taxa as reference, then use the reference taxa to find the differentially abundant ones.	https://bioconductor.org/packages/3.20/bioc/html/ADAPT.html
fishtaco	False	FishTaco: a metagenomic computational framework, aiming to identify the taxa that are driving functional shifts in microbiomes.		https://github.com/borenstein-lab/fishtaco/
meta-apo	False	Meta-Apo improves accuracy of 16S-amplicon-based prediction of microbiome function		https://github.com/qibebt-bioinfo/meta-apo
bioconductor-dstruct	False	Identifying differentially reactive regions from RNA structurome profiling data	dStruct identifies differentially reactive regions from RNA structurome profiling data. dStruct is compatible with a broad range of structurome profiling technologies, e.g., SHAPE-MaP, DMS-MaPseq, Structure-Seq, SHAPE-Seq, etc. See Choudhary et al., Genome Biology, 2019 for the underlying method.	https://bioconductor.org/packages/3.20/bioc/html/dStruct.html
