package.name	keep	about.home	about.license	about.license_family	about.license_file	about.summary	build.noarch	build.number	build.script	package.version	requirements.host	requirements.run	source.sha256	source.url	test.commands	test.imports	about.description	build.rpaths	build.run_exports	extra.parent_recipe.name	extra.parent_recipe.path	extra.parent_recipe.version	source.md5	about.dev_url	build.entry_points	extra.recipe-maintainers	requirements.build	extra.identifiers	extra.notes	build.skip	extra.additional-platforms	source.patches	about.doc_url	extra.skip-lints	extra.container.extended-base	test.requires	about.recipe-maintainers	source.git_rev	source.git_url	build.binary_relocation	source	about.licence_family	about.licence_url	build.has_prefix_files	test.source_files	extra.maintainers	identifiers	build.merge_build_host	extra.authors	about.licence_file	build.script_env	about.notes	test.files	extra.additional notes identifiers	extra.autobump.enable	test.import	outputs	extra.identifies	about.doc_source_url	build.no_link	extra.documentation	extra.doi	about.license_url	extra.recipe_maintainers	source.folder	extra.watch	extra.recipe-maintainer
bioconductor-glad	False	https://bioconductor.org/packages/3.20/bioc/html/GLAD.html	GPL-2		/lib/R/share/licenses/GPL-2	Gain and Loss Analysis of DNA		0		2.70.0	['r-aws', 'r-base', 'libblas', 'liblapack', 'gsl']	['r-aws', 'r-base', 'gsl']		['https://bioconductor.org/packages/3.20/bioc/src/contrib/GLAD_2.70.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/GLAD/GLAD_2.70.0.tar.gz', 'https://bioarchive.galaxyproject.org/GLAD_2.70.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-glad/bioconductor-glad_2.70.0_src_all.tar.gz']	"['$R -e ""library(\'GLAD\')""']"		Analysis of array CGH data : detection of breakpoints in genomic profiles and assignment of a status (gain, normal or loss) to each chromosomal regions identified.	['lib/R/lib/', 'lib/']	None				913c405c4a653fa34c64f72750ed95b4				['None', 'None', 'automake', 'make']																																								
bioconductor-recoup	False	https://bioconductor.org/packages/3.20/bioc/html/recoup.html	GPL (>= 3)		/lib/R/share/licenses/GPL-3	An R package for the creation of complex genomic profile plots	generic	0		1.34.0	['bioconductor-biocgenerics >=0.52.0,<0.53.0', 'bioconductor-biomart >=2.62.0,<2.63.0', 'bioconductor-biostrings >=2.74.0,<2.75.0', 'bioconductor-complexheatmap >=2.22.0,<2.23.0', 'bioconductor-genomeinfodb >=1.42.0,<1.43.0', 'bioconductor-genomicalignments >=1.42.0,<1.43.0', 'bioconductor-genomicfeatures >=1.58.0,<1.59.0', 'bioconductor-genomicranges >=1.58.0,<1.59.0', 'bioconductor-iranges >=2.40.0,<2.41.0', 'bioconductor-rsamtools >=2.22.0,<2.23.0', 'bioconductor-rtracklayer >=1.66.0,<1.67.0', 'bioconductor-s4vectors >=0.44.0,<0.45.0', 'bioconductor-txdbmaker >=1.2.0,<1.3.0', 'r-base', 'r-circlize', 'r-ggplot2', 'r-httr', 'r-rsqlite', 'r-stringr']	['bioconductor-biocgenerics >=0.52.0,<0.53.0', 'bioconductor-biomart >=2.62.0,<2.63.0', 'bioconductor-biostrings >=2.74.0,<2.75.0', 'bioconductor-complexheatmap >=2.22.0,<2.23.0', 'bioconductor-genomeinfodb >=1.42.0,<1.43.0', 'bioconductor-genomicalignments >=1.42.0,<1.43.0', 'bioconductor-genomicfeatures >=1.58.0,<1.59.0', 'bioconductor-genomicranges >=1.58.0,<1.59.0', 'bioconductor-iranges >=2.40.0,<2.41.0', 'bioconductor-rsamtools >=2.22.0,<2.23.0', 'bioconductor-rtracklayer >=1.66.0,<1.67.0', 'bioconductor-s4vectors >=0.44.0,<0.45.0', 'bioconductor-txdbmaker >=1.2.0,<1.3.0', 'r-base', 'r-circlize', 'r-ggplot2', 'r-httr', 'r-rsqlite', 'r-stringr']		['https://bioconductor.org/packages/3.20/bioc/src/contrib/recoup_1.34.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/recoup/recoup_1.34.0.tar.gz', 'https://bioarchive.galaxyproject.org/recoup_1.34.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-recoup/bioconductor-recoup_1.34.0_src_all.tar.gz']	"['$R -e ""library(\'recoup\')""']"		recoup calculates and plots signal profiles created from short sequence reads derived from Next Generation Sequencing technologies. The profiles provided are either sumarized curve profiles or heatmap profiles. Currently, recoup supports genomic profile plots for reads derived from ChIP-Seq and RNA-Seq experiments. The package uses ggplot2 and ComplexHeatmap graphics facilities for curve and heatmap coverage profiles respectively.	['lib/R/lib/', 'lib/']	None	bioconductor-recoup	recipes/bioconductor-recoup	1.8.0	e706ef9dc0be3a41f2ebf9c6ef0cde4b					['biotools:recoup', 'doi:10.1038/nmeth.3252']																																							
smeg	False	https://github.com/ohlab/SMEG	MIT			Strain-level Metagenomic Estimation of Growth rate (SMEG) measures growth rates of microbial strains from complex metagenomic dataset	generic	2		1.1.5		['parallel', 'mauve', 'roary', 'prokka', 'bowtie2', 'samtools', 'bamtools', 'bedtools', 'blast', 'r-seqinr', 'r-dplyr', 'r-ggplot2', 'r-gplots', 'r-getopt', 'r-gsubfn', 'r-ape', 'r-dynamictreecut', 'r-data.table', 'readline>=6.2', 'openssl', 'libgenome']	1ae66fb314ce41c83a8c097fded9d8564ebc4e0bd74d866fa4c4e100a9def441	https://github.com/ohlab/SMEG/archive/1.1.1.tar.gz	['smeg -h']																																																				
r-alakazam	False	http://alakazam.readthedocs.org	AGPL-3	AGPL	['/lib/R/share/licenses/AGPL-3']	Provides methods for high-throughput adaptive immune  receptor repertoire sequencing (AIRR-Seq; Rep-Seq) analysis. In  particular, immunoglobulin (Ig) sequence lineage reconstruction,  lineage topology analysis, diversity profiling, amino acid property  analysis and gene usage. Citations:  Gupta and Vander Heiden, et al (2017) <doi:10.1093/bioinformatics/btv359>, Stern, Yaari and Vander Heiden, et al (2014) <doi:10.1126/scitranslmed.3008879>.		4		1.2.1	['r-base', 'bioconductor-biostrings >=2.56.0', 'bioconductor-genomicalignments >=1.24.0', 'bioconductor-iranges >=2.22.2', 'r-matrix', 'r-rcpp >=0.12.12', 'r-airr >=1.3', 'r-ape', 'r-dplyr >=1.0', 'r-ggplot2 >=3.3.4', 'r-igraph >=1.0', 'r-progress', 'r-readr', 'r-rlang', 'r-scales', 'r-seqinr', 'r-stringi', 'r-tibble', 'r-tidyr >=1.0']	['r-base', 'bioconductor-biostrings >=2.56.0', 'bioconductor-genomicalignments >=1.24.0', 'bioconductor-iranges >=2.22.2', 'gcc-libs', 'r-matrix', 'r-rcpp >=0.12.12', 'r-airr >=1.3', 'r-ape', 'r-dplyr >=1.0', 'r-ggplot2 >=3.3.4', 'r-igraph >=1.0.0', 'r-progress', 'r-readr', 'r-rlang', 'r-scales', 'r-seqinr', 'r-stringi', 'r-tibble', 'r-tidyr >=1.0']	161c87a946857da2b876f679abc4ae8d265835c92c0d56e0ecacf0aea04084d4	['/src/contrib/alakazam_1.2.1.tar.gz', '/src/contrib/Archive/alakazam/alakazam_1.2.1.tar.gz']	"['$R -e ""library(\'alakazam\')""']"			['lib/R/lib/', 'lib/']	['None']							['ggabernet']	['None', 'None', 'make']							['in_other_channels']																																	
metaprob	False	https://bitbucket.org/samu661/metaprob/	copyright			assembly-assisted tool for un-supervised metagenomic binning		2		2	['eigen', 'boost']	['eigen', 'boost']	ebc91d0282b2817c7150ead3a82c8e97b8aa623fb436eca3e998943a207b3d8d	https://bitbucket.org/samu661/metaprob/downloads/MetaProb_v2.tar.gz	['command -v MetaProb', 'MetaProb']		"MetaProb is a novel assembly-assisted tool for un-supervised metagenomic
binning. The novelty of MetaProb derives from solving a few important
problems: how to divide reads into groups of independent reads, so that
l-mer frequencies are not overestimated; how to convert l-mer counts into
probabilistic sequence signatures, that will correct for variable
distribution of l-mers, and for unbalanced groups of reads, in order to
produce better estimates of the underlying genome statistic. We show that
MetaProb is effective for both simulated and real datasets. It can
accurately (with F-measures of 87 for short reads and 97 long reads) and
efficiently bin short and long reads with varying abundance ratios.
"										['make', 'None']			True		['makefile.patch']														['keuv-grvl']																					
bioconductor-ncgtw	False	https://bioconductor.org/packages/3.20/bioc/html/ncGTW.html	GPL-2		/lib/R/share/licenses/GPL-2	Alignment of LC-MS Profiles by Neighbor-wise Compound-specific Graphical Time Warping with Misalignment Detection		0		1.20.0	['bioconductor-biocparallel >=1.40.0,<1.41.0', 'bioconductor-xcms >=4.4.0,<4.5.0', 'r-base', 'r-rcpp', 'libblas', 'liblapack']	['bioconductor-biocparallel >=1.40.0,<1.41.0', 'bioconductor-xcms >=4.4.0,<4.5.0', 'r-base', 'r-rcpp']		['https://bioconductor.org/packages/3.20/bioc/src/contrib/ncGTW_1.20.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/ncGTW/ncGTW_1.20.0.tar.gz', 'https://bioarchive.galaxyproject.org/ncGTW_1.20.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-ncgtw/bioconductor-ncgtw_1.20.0_src_all.tar.gz']	"['$R -e ""library(\'ncGTW\')""']"		The purpose of ncGTW is to help XCMS for LC-MS data alignment. Currently, ncGTW can detect the misaligned feature groups by XCMS, and the user can choose to realign these feature groups by ncGTW or not.	['lib/R/lib/', 'lib/']	None				6f38bb92656caf6a7910e3266da17355				['None', 'None', 'make']																																								
sylph-tax	False	https://github.com/bluenote-1577/sylph-tax	MIT	MIT	LICENSE	Integrating taxonomic information into the sylph metagenome profiler.	python	0	-m pip install . --no-deps --no-build-isolation --no-cache-dir -vvv	1.7.1	['python >=3.7', 'pip', 'setuptools']	['python >=3.7', 'pandas', 'requests']	d7e447e7ba60fa4117e3e7d956b1646c44ac21fc34aa53633f855a724559f173	https://github.com/bluenote-1577/sylph-tax/archive/v1.7.1.tar.gz	['sylph-tax --help']				['None']					https://github.com/bluenote-1577/sylph-tax									https://github.com/bluenote-1577/sylph-tax/blob/v1.7.1/README.md																																		
binlorry	False	https://github.com/rambaut/binlorry	GPL-3.0	GPL3	LICENSE	BinLorry, a flexible tool for binning and filtering sequencing reads	python	0	 -m pip install . --no-deps --ignore-installed -vv 	1.3.1	['pip', 'python >3']	['python >3']	001b74cad497b7253b821ceaac8c0b829b2787396a896fc2d3940a704a149b48	https://github.com/rambaut/binlorry/archive/v1.3.1.tar.gz	['binlorry --help']										['binlorry = binlorry.binlorry:main']	['druvus']																																									
bioconductor-mirmine	False	https://bioconductor.org/packages/3.17/bioc/html/miRmine.html	GPL (>= 3)		/lib/R/share/licenses/GPL-3	Data package with miRNA-seq datasets from miRmine database as RangedSummarizedExperiment	generic	0		1.22.0	['bioconductor-summarizedexperiment >=1.30.0,<1.31.0', 'r-base']	['bioconductor-summarizedexperiment >=1.30.0,<1.31.0', 'r-base']		['https://bioconductor.org/packages/3.17/bioc/src/contrib/miRmine_1.22.0.tar.gz', 'https://bioconductor.org/packages/3.17/bioc/src/contrib/Archive/miRmine/miRmine_1.22.0.tar.gz', 'https://bioarchive.galaxyproject.org/miRmine_1.22.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-mirmine/bioconductor-mirmine_1.22.0_src_all.tar.gz']	"['$R -e ""library(\'miRmine\')""']"		miRmine database is a collection of expression profiles from different publicly available miRNA-seq datasets, Panwar et al (2017) miRmine: A Database of Human miRNA Expression, prepared with this data package as RangedSummarizedExperiment.	['lib/R/lib/', 'lib/']					4f2bfc5c74548b15515c808c2994a5f9																																												
metasbt	False	https://github.com/cumbof/MetaSBT	MIT	MIT	LICENSE	Microbial genomes characterization with Sequence Bloom Trees.	python	0	-m pip install . --no-deps --no-build-isolation --no-cache-dir -vvv	0.1.5	['pip', 'python >=3.9', 'setuptools']	['biopython >=1.85', 'busco >=5.8.3', 'checkm-genome >=1.2.4', 'checkv >=1.0.3', 'fastcluster <1.3.0', 'howdesbt >=2.00.15', 'kitsune >=1.3.5', 'kraken2 >=2.1.3', 'ncbitax2lin >=2.4.1', 'ntcard >=1.2.2', 'numpy =1.26.4', 'packaging >=25.0', 'python >=3.9', 'requests >=2.32.4', 'scipy >=1.13.1', 'tabulate >=0.9.0', 'tqdm >=4.67.1']	09807a62dee2a696a1e8805d359d511cba420f1d34b0151c6bee49c3d42c4e51	https://pypi.io/packages/source/m/metasbt/metasbt-0.1.5.tar.gz	['metasbt --version', 'metasbt test --references ${SRC_DIR}/test/references.tsv --mags ${SRC_DIR}/test/mags.txt']	['metasbt']	"A scalable framework for automatically indexing microbial genomes and accurately 
characterizing metagenome-assembled genomes with Sequence Bloom Trees
"		['None']					https://github.com/cumbof/MetaSBT	['metasbt=metasbt.metasbt:run']	['cumbof']																			['test/references.tsv', 'test/mags.txt']		['biotools:metasbt']																				
bioconductor-clonality	False	https://bioconductor.org/packages/3.17/bioc/html/Clonality.html	GPL-3		/lib/R/share/licenses/GPL-3	Clonality testing	generic	0		1.47.0	['bioconductor-dnacopy >=1.74.0,<1.75.0', 'r-base']	['bioconductor-dnacopy >=1.74.0,<1.75.0', 'r-base']		['https://bioconductor.org/packages/3.17/bioc/src/contrib/Clonality_1.47.0.tar.gz', 'https://bioconductor.org/packages/3.17/bioc/src/contrib/Archive/Clonality/Clonality_1.47.0.tar.gz', 'https://bioarchive.galaxyproject.org/Clonality_1.47.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-clonality/bioconductor-clonality_1.47.0_src_all.tar.gz']	"['$R -e ""library(\'Clonality\')""']"		Statistical tests for clonality versus independence of tumors from the same patient based on their LOH or genomewide copy number profiles	['lib/R/lib/', 'lib/']		bioconductor-clonality	recipes/bioconductor-clonality	1.28.0	5ed37ef997cb1af4c83a20890e526281					['biotools:clonality', 'doi:10.1093/bioinformatics/btr268']																																							
phlame	False	https://github.com/quevan/phlame	MIT	MIT	LICENSE.md	Novelty-aware intraspecies profiling of metagenome samples.	python	0	 -m pip install . -vvv --no-deps --no-build-isolation --no-cache-dir	1.1.0	['python <3.13', 'pip']	['python <3.13', 'biopython', 'ete3', 'matplotlib-base', 'numpy', 'pandas', 'pytest', 'seaborn-base', 'statsmodels']	fe51760e3973beb2bb771b7f928a2b0d4b853ed1431facf7095c64993d03f3a5	https://pypi.io/packages/source/p/phlame/phlame-1.1.0.tar.gz		['phlame']			['None']					https://github.com/quevan/phlame		['quevan']							https://github.com/quevan/phlame																																		
abawaca	False	https://github.com/CK7/abawaca	Open Source			abawaca is a binning program for metagenomics.		9		1.0			57465bb291c3a9af93605ffb11d704324079036205e5ac279601c9e98c467529	https://github.com/CK7/abawaca/archive/v1.00.tar.gz	['abawaca 2>&1 | grep Usage']				['None']					https://github.com/CK7/abawaca		['keuv-grvl']	['make', 'None', 'pkg-config']	['doi:10.1038/nature14486']			['linux-aarch64', 'osx-arm64']	['0001-Use-CXX-and-flags.patch']																																			
metacortex	False	https://github.com/SR-Martin/metacortex	GPL-3.0-or-later	GPL3		MetaCortex is an assembler for metagenomic, or environmental sequence data.		3		0.5.1			32cf14e00bc9db95aafcdd7ae7bbcd3e6fd606ee7003572cc00f18431fa1df68	https://github.com/SR-Martin/metacortex/archive/refs/tags/v0.5.1.tar.gz	['metacortex --help']												['make', 'None']			True																																					
bioconductor-mirage	False	https://bioconductor.org/packages/3.20/bioc/html/MiRaGE.html	GPL		/lib/R/share/licenses/GPL-3	MiRNA Ranking by Gene Expression	generic	0		1.48.0	['bioconductor-annotationdbi >=1.68.0,<1.69.0', 'bioconductor-biobase >=2.66.0,<2.67.0', 'bioconductor-biocgenerics >=0.52.0,<0.53.0', 'bioconductor-s4vectors >=0.44.0,<0.45.0', 'r-base', 'r-biocmanager']	['bioconductor-annotationdbi >=1.68.0,<1.69.0', 'bioconductor-biobase >=2.66.0,<2.67.0', 'bioconductor-biocgenerics >=0.52.0,<0.53.0', 'bioconductor-s4vectors >=0.44.0,<0.45.0', 'r-base', 'r-biocmanager']		['https://bioconductor.org/packages/3.20/bioc/src/contrib/MiRaGE_1.48.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/MiRaGE/MiRaGE_1.48.0.tar.gz', 'https://bioarchive.galaxyproject.org/MiRaGE_1.48.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-mirage/bioconductor-mirage_1.48.0_src_all.tar.gz']	"['$R -e ""library(\'MiRaGE\')""']"		The package contains functions for inferece of target gene regulation by miRNA, based on only target gene expression profile.	['lib/R/lib/', 'lib/']	None	bioconductor-mirage	recipes/bioconductor-mirage	1.22.0	e13ad9fdad2deeee94e0395bfb34e182					['biotools:mirage']																																							
slimm	False	https://github.com/seqan/slimm/blob/master/README.md	https://github.com/seqan/slimm/blob/master/LICENSE			SLIMM - Species Level Identification of Microbes from Metagenomes		6		0.3.4	['bzip2', 'zlib']	['bzip2', 'zlib']			['slimm --help 2>&1 > /dev/null', 'slimm_build --help 2>&1 > /dev/null']											['temehi']	['make', 'None', 'None', 'cmake', 'llvm-openmp', 'libgomp']	['biotools:slimm', 'doi:10.7717/peerj.3138']													[{'sha256': 'be96b31fdb990d36dd1f10139a868fad639d41010789d7de3b826958906dfc0b', 'url': 'https://github.com/seqan/slimm/archive/v0.3.4.tar.gz'}, {'folder': 'include/cereal', 'sha256': '26361b539fe50eee308b564faa2742166d2922a7ab0bd4870ac55708581228c8', 'url': 'https://github.com/USCiLab/cereal/archive/51cbda5f30e56c801c07fe3d3aba5d7fb9e6cca4.tar.gz'}, {'folder': 'include/seqan', 'sha256': '05a43ec2952a03fee7e4c00a2db4c8a29299c3bd92d832220f96a8600561b76a', 'url': 'https://github.com/seqan/seqan/archive/584ae4fbff8312cfe31b3e0aea651edfb1b580ef.tar.gz'}]																										
binchicken	False	https://github.com/aroneys/binchicken	GPL-3.0-or-later	GPL3	LICENSE	Targeted recovery of low abundance metagenome assembled genomes through intelligent coassembly	python	0	 -m pip install . --no-deps --no-build-isolation --no-cache-dir -vvv	0.13.5	['python >=3.10', 'pip', 'setuptools']	['python =3.10.*', 'snakemake-minimal >=6.0.5,<8', 'mamba =1.4.*', 'networkx', 'bird_tool_utils_python >=0.5.1', 'extern', 'ruamel.yaml >=0.15.99', 'polars =1.26.*', 'pigz', 'pyarrow', 'parallel', 'sourmash =4.8.*', 'sourmash_plugin_branchwater =0.9.*', 'pyopenssl >22.1.0', 'pixi']	ef2a930ca12f9a1a2ea8ae0238607db4a52acacc23c576c02c98c5c3e45a4736	https://pypi.io/packages/source/b/binchicken/binchicken-0.13.5.tar.gz	"[""binchicken --version | grep '0.13.5'""]"				['None']					https://github.com/aroneys/binchicken	['binchicken = binchicken.binchicken:main', 'ibis = binchicken.binchicken:main']								https://aroneys.github.io/binchicken																																		
bioconductor-saturn	False	https://bioconductor.org/packages/3.20/bioc/html/satuRn.html	Artistic-2.0			Scalable Analysis of Differential Transcript Usage for Bulk and Single-Cell RNA-sequencing Applications	generic	0		1.14.0	['bioconductor-biocparallel >=1.40.0,<1.41.0', 'bioconductor-limma >=3.62.0,<3.63.0', 'bioconductor-summarizedexperiment >=1.36.0,<1.37.0', 'r-base', 'r-boot', 'r-ggplot2', 'r-locfdr', 'r-matrix', 'r-pbapply']	['bioconductor-biocparallel >=1.40.0,<1.41.0', 'bioconductor-limma >=3.62.0,<3.63.0', 'bioconductor-summarizedexperiment >=1.36.0,<1.37.0', 'r-base', 'r-boot', 'r-ggplot2', 'r-locfdr', 'r-matrix', 'r-pbapply']		['https://bioconductor.org/packages/3.20/bioc/src/contrib/satuRn_1.14.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/satuRn/satuRn_1.14.0.tar.gz', 'https://bioarchive.galaxyproject.org/satuRn_1.14.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-saturn/bioconductor-saturn_1.14.0_src_all.tar.gz']	"['$R -e ""library(\'satuRn\')""']"		satuRn provides a higly performant and scalable framework for performing differential transcript usage analyses. The package consists of three main functions. The first function, fitDTU, fits quasi-binomial generalized linear models that model transcript usage in different groups of interest. The second function, testDTU, tests for differential usage of transcripts between groups of interest. Finally, plotDTU visualizes the usage profiles of transcripts in groups of interest.	['lib/R/lib/', 'lib/']	None				4be609ec2dd806f2e876cec9693cad2b																																												
metav	False	https://github.com/ZhijianZhou01/metav	GPL-3.0-or-later	GPL3	LICENSE	Rapid detection and classification of viruses in metagenomics sequencing.	python	0	-m pip install . -vvv --no-deps --no-build-isolation --no-cache-dir	2.0.0	['python >=3.5', 'pip', 'setuptools']	['python >=3.5', 'colorama >=0.4.5', 'trimmomatic >=0.39', 'bowtie2 >=2.3.0', 'samtools >=1.14', 'megahit >=1.2.6', 'diamond >=2.0.9']	440be92e070a3a702bb1a9468d97f045d4b44100b2ee7532ace92585cadb93c1	https://pypi.io/packages/source/m/metav/metav-2.0.0.tar.gz	['metav --help']				['None']					https://github.com/ZhijianZhou01/metav	['metav = metav.main:starts']	['ZhijianZhou01']																																									
bioconductor-chipxpress	False	https://bioconductor.org/packages/3.20/bioc/html/ChIPXpress.html	GPL(>=2)		/lib/R/share/licenses/GPL-3	ChIPXpress: enhanced transcription factor target gene identification from ChIP-seq and ChIP-chip data using publicly available gene expression profiles	generic	0		1.50.0	['bioconductor-affy >=1.84.0,<1.85.0', 'bioconductor-biobase >=2.66.0,<2.67.0', 'bioconductor-chipxpressdata >=1.44.0,<1.45.0', 'bioconductor-frma >=1.58.0,<1.59.0', 'bioconductor-geoquery >=2.74.0,<2.75.0', 'r-base', 'r-biganalytics', 'r-bigmemory']	['bioconductor-affy >=1.84.0,<1.85.0', 'bioconductor-biobase >=2.66.0,<2.67.0', 'bioconductor-chipxpressdata >=1.44.0,<1.45.0', 'bioconductor-frma >=1.58.0,<1.59.0', 'bioconductor-geoquery >=2.74.0,<2.75.0', 'r-base', 'r-biganalytics', 'r-bigmemory']		['https://bioconductor.org/packages/3.20/bioc/src/contrib/ChIPXpress_1.50.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/ChIPXpress/ChIPXpress_1.50.0.tar.gz', 'https://bioarchive.galaxyproject.org/ChIPXpress_1.50.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-chipxpress/bioconductor-chipxpress_1.50.0_src_all.tar.gz']	"['$R -e ""library(\'ChIPXpress\')""']"		ChIPXpress takes as input predicted TF bound genes from ChIPx data and uses a corresponding database of gene expression profiles downloaded from NCBI GEO to rank the TF bound targets in order of which gene is most likely to be functional TF target.	['lib/R/lib/', 'lib/']	None	bioconductor-chipxpress	recipes/bioconductor-chipxpress	1.24.0	51f755ef36fb5e7efc94527eed6d7c22					['biotools:chipxpress', 'doi:10.1186/1471-2105-14-188']																																							
isescan	False	https://github.com/xiezhq/ISEScan	GNU General Public License			A python pipeline to identify IS (Insertion Sequence) elements in genome and metagenome 		0		1.7.3		['python >=3', 'numpy >=1.8', 'scipy >=0.13.1', 'fastcluster', 'fraggenescan >=1.32', 'hmmer >=3.1b2', 'blast >=2.2.31', 'biopython >=1.62']	cf3d7f0c272aa3527dd14565e8c7b29b8fed23a3bf880b10eda0fdfee0873fd9	https://github.com/xiezhq/ISEScan/archive/refs/tags/v1.7.3.tar.gz	['isescan.py -h']				['None']								['None']																																								
bioconductor-rnasense	False	https://bioconductor.org/packages/3.20/bioc/html/RNAsense.html	GPL-3		/lib/R/share/licenses/GPL-3	Analysis of Time-Resolved RNA-Seq Data	generic	0		1.20.0	['bioconductor-qvalue >=2.38.0,<2.39.0', 'bioconductor-summarizedexperiment >=1.36.0,<1.37.0', 'r-base', 'r-ggplot2', 'r-nbpseq']	['bioconductor-qvalue >=2.38.0,<2.39.0', 'bioconductor-summarizedexperiment >=1.36.0,<1.37.0', 'r-base', 'r-ggplot2', 'r-nbpseq']		['https://bioconductor.org/packages/3.20/bioc/src/contrib/RNAsense_1.20.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/RNAsense/RNAsense_1.20.0.tar.gz', 'https://bioarchive.galaxyproject.org/RNAsense_1.20.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-rnasense/bioconductor-rnasense_1.20.0_src_all.tar.gz']	"['$R -e ""library(\'RNAsense\')""']"		RNA-sense tool compares RNA-seq time curves in two experimental conditions, i.e. wild-type and mutant, and works in three steps. At Step 1, it builds expression profile for each transcript in one condition (i.e. wild-type) and tests if the transcript abundance grows or decays significantly. Dynamic transcripts are then sorted to non-overlapping groups (time profiles) by the time point of switch up or down. At Step 2, RNA-sense outputs the groups of differentially expressed transcripts, which are up- or downregulated in the mutant compared to the wild-type at each time point. At Step 3, Correlations (Fisher's exact test) between the outputs of Step 1 (switch up- and switch down- time profile groups) and the outputs of Step2 (differentially expressed transcript groups) are calculated. The results of the correlation analysis are printed as two-dimensional color plot, with time profiles and differential expression groups at y- and x-axis, respectively, and facilitates the biological interpretation of the data.	['lib/R/lib/', 'lib/']	None				3607e197234601375c6c097c48d937fa																																												
metavelvet	False	http://metavelvet.dna.bio.keio.ac.jp	GNU General Public License			MetaVelvet : An extension of Velvet assembler to de novo metagenome assembly from short sequence reads		3		1.2.02	['zlib', 'perl-module-build', 'perl']	['zlib', 'perl', 'perl-module-build', 'velvet']	80999b1cb6b533719d258f4c3d8517cf2a72dcfadd19c088470432382a8e0ecf	http://metavelvet.dna.bio.keio.ac.jp/src/MetaVelvet-1.2.02.tgz	"['meta-velvetg --help 2>&1 | grep ""contiging and scaffolding program for metagenomics NGS data""']"												['make', 'None']			True		['metavelvet.velvet.makefile.patch', 'run-annoIS.pl.patch']																																			
bioconductor-philr	False	https://bioconductor.org/packages/3.20/bioc/html/philr.html	GPL-3		/lib/R/share/licenses/GPL-3	Phylogenetic partitioning based ILR transform for metagenomics data	generic	0		1.32.0	['bioconductor-ggtree >=3.14.0,<3.15.0', 'r-ape', 'r-base', 'r-ggplot2', 'r-phangorn', 'r-tidyr']	['bioconductor-ggtree >=3.14.0,<3.15.0', 'r-ape', 'r-base', 'r-ggplot2', 'r-phangorn', 'r-tidyr']		['https://bioconductor.org/packages/3.20/bioc/src/contrib/philr_1.32.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/philr/philr_1.32.0.tar.gz', 'https://bioarchive.galaxyproject.org/philr_1.32.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-philr/bioconductor-philr_1.32.0_src_all.tar.gz']	"['$R -e ""library(\'philr\')""']"		PhILR is short for Phylogenetic Isometric Log-Ratio Transform. This package provides functions for the analysis of compositional data (e.g., data representing proportions of different variables/parts). Specifically this package allows analysis of compositional data where the parts can be related through a phylogenetic tree (as is common in microbiota survey data) and makes available the Isometric Log Ratio transform built from the phylogenetic tree and utilizing a weighted reference measure.	['lib/R/lib/', 'lib/']	None	bioconductor-philr	recipes/bioconductor-philr	1.8.0	e45ace4abfb591c0f37ab174248f6311					['biotools:philr']																																							
metacache	False	https://github.com/muellan/metacache	GPL-3.0-or-later		LICENSE	MetaCache is a classification system for mapping genomic sequences (short reads, long reads, contigs, ...) from metagenomic samples to their most likely taxon of origin.		0		2.5.1	['gawk', 'wget', 'zlib']	['gawk', 'wget']	de193606d570ff9a13cdd0fb48bee49c97c3867def662c47bea4eb12bbab2e21	https://github.com/muellan/metacache/archive/refs/tags/v2.5.1.tar.gz	['metacache', 'command -v download-ncbi-genomes', 'command -v download-ncbi-taxmaps', 'command -v download-ncbi-taxonomy', 'command -v metacache-build-refseq', 'command -v metacache-db-info', 'command -v metacache-partition-genomes', 'command -v summarize-results']				['None']								['make', 'None']			True	['linux-aarch64']																																				
