Name	Source	ID	Link	Creators	Type	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	Filtered on	To keep
Calculating diversity from microbiome taxonomic data	WorkflowHub	1431	https:/workflowhub.eu/workflows/1431?version=1		Galaxy	gtn, galaxy, name:gtn	2025-06-02	2025-06-02	1	1	6	krakentools_alpha_diversity, krakentools_beta_diversity			MIT		Galaxy Training Network	microbiom.* in name	True
Workflow 3: Classification [Galaxy Training: 16S Microbial Analysis With Mothur]	WorkflowHub	1428	https:/workflowhub.eu/workflows/1428?version=1		Galaxy	gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	3	mothur_remove_lineage, mothur_summary_seqs, mothur_classify_seqs			MIT		Galaxy Training Network	microbiom.* in tags	
WF3_VERIFICATION_WORKFLOW	WorkflowHub	1425	https:/workflowhub.eu/workflows/1425?version=1		Galaxy	gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	19	dbbuilder, Grouping1, uniprotxml_downloader, Cut1, Filter1, Remove beginning1, fasta_merge_files_and_filter_unique_sequences, pepquery2, query_tabular, tp_cat, collapse_dataset			CC-BY-4.0		Galaxy Training Network	metap.* in description	
WF1_Database_Generation_Workflow	WorkflowHub	1461	https:/workflowhub.eu/workflows/1461?version=1		Galaxy	gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	3	fasta_merge_files_and_filter_unique_sequences, metanovo			CC-BY-4.0		Galaxy Training Network	metap.* in description	
Workflow 1: Quality Control [Galaxy Training: 16S Microbial Analysis With Mothur]	WorkflowHub	1422	https:/workflowhub.eu/workflows/1422?version=1		Galaxy	gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	5	mothur_count_seqs, mothur_unique_seqs, mothur_summary_seqs, mothur_screen_seqs			MIT		Galaxy Training Network	microbiom.* in tags	
Workflow7: Beta Diversity [Galaxy Training: 16S Microbial Analysis With Mothur]	WorkflowHub	1418	https:/workflowhub.eu/workflows/1418?version=1		Galaxy	gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	6	mothur_heatmap_sim, mothur_venn, mothur_tree_shared, mothur_dist_shared, newick_display, collapse_dataset			MIT		Galaxy Training Network	microbiom.* in tags	
Workflow 6: Alpha Diversity [Galaxy Training: 16S Microbial Analysis With Mothur]	WorkflowHub	1412	https:/workflowhub.eu/workflows/1412?version=1		Galaxy	gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	3	XY_Plot_1, mothur_rarefaction_single, mothur_summary_single			MIT		Galaxy Training Network	microbiom.* in tags	
Workflow 4: Mock OTU Clustering [Galaxy Training: 16S Microbial Analysis With Mothur]	WorkflowHub	1408	https:/workflowhub.eu/workflows/1408?version=1		Galaxy	gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	4	mothur_make_shared, mothur_rarefaction_single, mothur_cluster, mothur_dist_seqs			MIT		Galaxy Training Network	microbiom.* in tags	
Workflow 5: OTU Clustering [Galaxy Training: 16S Microbial Analysis With Mothur]	WorkflowHub	1404	https:/workflowhub.eu/workflows/1404?version=1		Galaxy	gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	6	mothur_sub_sample, mothur_classify_otu, mothur_count_groups, mothur_remove_groups, mothur_make_shared, mothur_cluster_split			MIT		Galaxy Training Network	microbiom.* in tags	
Workflow 2: Data Cleaning And Chimera Removal [Galaxy Training: 16S Microbial Analysis With Mothur]	WorkflowHub	1400	https:/workflowhub.eu/workflows/1400?version=1		Galaxy	gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	9	mothur_unique_seqs, mothur_pre_cluster, mothur_summary_seqs, mothur_screen_seqs, mothur_filter_seqs, mothur_chimera_vsearch, mothur_remove_seqs			MIT		Galaxy Training Network	microbiom.* in tags	
WF2_Discovery-Workflow	WorkflowHub	1396	https:/workflowhub.eu/workflows/1396?version=1		Galaxy	gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	24	dbbuilder, fasta_cli, fasta2tab, Grouping1, peptide_shaker, Cut1, Filter1, ident_params, search_gui, Grep1, fasta_merge_files_and_filter_unique_sequences, Remove beginning1, msconvert, filter_tabular, query_tabular, tp_cat, maxquant			CC-BY-4.0		Galaxy Training Network	metap.* in description	
WF4_Quantitation_Workflow	WorkflowHub	1420	https:/workflowhub.eu/workflows/1420?version=1		Galaxy	gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	7	Grep1, Cut1, Grouping1, maxquant			CC-BY-4.0		Galaxy Training Network	metap.* in description	
MGnify amplicon summary tables	WorkflowHub	1851	https:/workflowhub.eu/workflows/1851?version=1		Galaxy	amplicon, gtn, galaxy, metagenomics, mgnify_amplicon, name:microgalaxy	2025-08-11	2025-08-11	1	1	10	collection_column_join, Grouping1, tp_awk_tool, filter_tabular, query_tabular			MIT		Galaxy Training Network	metage.* in tags	
MGnify's amplicon pipeline v5.0	WorkflowHub	1853	https:/workflowhub.eu/workflows/1853?version=1		Galaxy	amplicon, gtn, galaxy, metagenomics, mgnify_amplicon, name:microgalaxy	2025-08-11	2025-08-11	1	1	20	, CONVERTER_uncompressed_to_gz, CONVERTER_gz_to_uncompressed, __MERGE_COLLECTION__, tp_awk_tool, fastq_dl			Apache-2.0		Galaxy Training Network	metage.* in tags	
WF5_Data_Interpretation_Worklow	WorkflowHub	1433	https:/workflowhub.eu/workflows/1433?version=1		Galaxy	gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	6	Grep1, unipept, msstatstmt			CC-BY-4.0		Galaxy Training Network	metap.* in description	
Building an amplicon sequence variant (ASV) table from 16S data using DADA2	WorkflowHub	1395	https:/workflowhub.eu/workflows/1395?version=2		Galaxy	gtn, galaxy, microbiome	2025-07-07	2025-07-07	2	2	21	tp_replace_in_line, tp_head_tool, dada2_assignTaxonomyAddspecies, Add_a_column1, dada2_removeBimeraDenovo, dada2_learnErrors, phyloseq_from_dada2, dada2_mergePairs, collection_element_identifiers, tp_replace_in_column, __SORTLIST__, __UNZIP_COLLECTION__, dada2_makeSequenceTable, cat1, dada2_plotQualityProfile, dada2_filterAndTrim, dada2_dada, dada2_seqCounts			MIT		Galaxy Training Network	microbiom.* in tags	True
Nanopore Preprocessing	WorkflowHub	1492	https:/workflowhub.eu/workflows/1492?version=2		Galaxy	gtn, galaxy, name:iwc, name:microgalaxy, name:nanopore, name:pathogfair, name:collection	2025-07-07	2025-07-07	2	2	25	bamtools_split_mapped, krakentools_extract_kraken_reads, kraken2, collection_column_join, Add_a_column1, Cut1, regexColumn1, multiqc, porechop, samtools_fastx, __FILTER_FAILED_DATASETS__, fastqc, Grep1, fastp, minimap2, nanoplot, collapse_dataset			MIT		Galaxy Training Network	microbiom.* in description	
Pathogen Detection PathoGFAIR Samples Aggregation and Visualisation	WorkflowHub	1487	https:/workflowhub.eu/workflows/1487?version=2		Galaxy	gtn, galaxy, name:iwc, name:microgalaxy, name:pathogfair, name:collection	2025-07-07	2025-07-07	2	2	65	fasta2tab, Grouping1, barchart_gnuplot, Remove beginning1, Count1, tp_replace_in_column, fasta_merge_files_and_filter_unique_sequences, __FILTER_EMPTY_DATASETS__, collection_column_join, Cut1, bedtools_getfastabed, ggplot2_heatmap, regexColumn1, tp_sorted_uniq, newick_display, collapse_dataset, fasttree, regex1, __FILTER_FAILED_DATASETS__, tp_multijoin_tool, tp_split_on_column, tab2fasta, clustalw			MIT		Galaxy Training Network	microbiom.* in description	
MGnify's amplicon pipeline v5.0 - Quality control SE	WorkflowHub	1850	https:/workflowhub.eu/workflows/1850?version=1		Galaxy	amplicon, gtn, galaxy, metagenomics, mgnify_amplicon, name:microgalaxy	2025-08-11	2025-08-11	1	1	14	tp_find_and_replace, fastq_to_fasta_python, prinseq, trimmomatic, multiqc, fastqc, fastq_filter, cshl_fasta_formatter			Apache-2.0		Galaxy Training Network	metage.* in tags	
Workflow 3: Functional Information (quick)	WorkflowHub	1447	https:/workflowhub.eu/workflows/1447?version=2		Galaxy	asaim, gtn, galaxy, metagenomics	2025-07-14	2025-07-14	2	2	12	tp_find_and_replace, humann_unpack_pathways, Cut1, humann_renorm_table, humann_split_stratified_table, Grep1, humann_regroup_table, humann_rename_table, combine_metaphlan2_humann2			MIT		Galaxy Training Network	metage.* in tags	
Metaproteomics_GTN	WorkflowHub	1443	https:/workflowhub.eu/workflows/1443?version=1		Galaxy	gtn, galaxy, proteomics	2025-06-02	2025-06-02	1	1	10	sqlite_to_tabular, peptide_shaker, unipept, query_tabular, search_gui			CC-BY-4.0		Galaxy Training Network	metap.* in name	
Amplicon Tutorial	WorkflowHub	1476	https:/workflowhub.eu/workflows/1476?version=1		Galaxy	gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	17	mothur_unique_seqs, mothur_make_group, mothur_pre_cluster, mothur_align_seqs, mothur_summary_seqs, mothur_screen_seqs, mothur_filter_seqs, mothur_make_biom, krona-text, mothur_classify_otu, mothur_count_seqs, mothur_make_shared, mothur_cluster_split, mothur_merge_files, mothur_classify_seqs			CC-BY-4.0		Galaxy Training Network	microbiom.* in tags	True
MGnify's amplicon pipeline v5.0 - rRNA prediction	WorkflowHub	1842	https:/workflowhub.eu/workflows/1842?version=1		Galaxy	amplicon, gtn, galaxy, metagenomics, mgnify_amplicon, name:microgalaxy	2025-08-04	2025-08-11	1	1	47	gops_concat_1, , infernal_cmsearch, cmsearch_deoverlap, biom_convert, taxonomy_krona_chart, __FILTER_FROM_FILE__, mapseq, collection_element_identifiers, tp_awk_tool, query_tabular, bedtools_getfastabed, __FILTER_EMPTY_DATASETS__, cshl_fasta_formatter			Apache-2.0		Galaxy Training Network	metage.* in tags	
GTN Training - Antibiotic Resistance Detection	WorkflowHub	406	https:/workflowhub.eu/workflows/406?version=1	Saskia Hiltemann, Willem de Koning	Galaxy	metagenomics	2022-11-24	2023-02-13	1	1	12	unicycler, racon, PlasFlow, bandage_image, staramr_search, miniasm, nanoplot, gfa_to_fa, minimap2	Antimicrobial resistance prediction	Microbiology	CC-BY-4.0		Galaxy Training Network	metage.* in tags	True
Identification of the micro-organisms in a beer using Nanopore sequencing	WorkflowHub	1439	https:/workflowhub.eu/workflows/1439?version=1		Galaxy	gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	8	kraken2, taxonomy_krona_chart, Filter1, porechop, fastqc, fastp, krakentools_kreport2krona			MIT		Galaxy Training Network	microbiom.* in tags	True
WF1_Database_Generation_Workflow	WorkflowHub	1474	https:/workflowhub.eu/workflows/1474?version=1		Galaxy	gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	3	fasta_merge_files_and_filter_unique_sequences, metanovo			CC-BY-4.0		Galaxy Training Network	metap.* in description	
Marine Omics identifying biosynthetic gene clusters	WorkflowHub	1663	https:/workflowhub.eu/workflows/1663?version=1	Marie Jossé	Galaxy	earth-system, gtn, galaxy, marineomics, ocean	2025-06-02	2025-07-28	1	1	5	prodigal, interproscan, regex1, sanntis_marine			CC-BY-4.0	10.48546/workflowhub.workflow.1663.1	Galaxy Training Network, EuroScienceGateway	metab.* in description	True
Hecatomb	WorkflowHub	235	https:/workflowhub.eu/workflows/235?version=1	Michael Roach	Snakemake		2021-11-11	2024-05-13	1	1	0				MIT	10.48546/workflowhub.workflow.235.1	HecatombDevelopment	metage.* in description	True
Sorting and registration of Terahertz ELBE raw data	WorkflowHub	473	https:/workflowhub.eu/workflows/473?version=1		Uniform Interface to Computing Resources		2023-05-17	2023-06-07	1	1	0				CC-BY-4.0		Helmholtz Scientific Project Workflow Platform	binn.* in description	
EukRecover	WorkflowHub	475	https:/workflowhub.eu/workflows/475?version=1		Snakemake		2023-05-19	2023-05-19	1	1	0				CC-BY-4.0		HoloFood at MGnify	metage.* in description	True
Metagenome and metatranscriptome assembly in CWL	WorkflowHub	474	https:/workflowhub.eu/workflows/474?version=2		Common Workflow Language		2023-06-21	2023-06-21	2	2	0				CC-BY-4.0		HoloFood at MGnify	metage.* in name	
MetaGT: A pipeline for de novo assembly of metatranscriptomes with the aid of metagenomic data	WorkflowHub	454	https:/workflowhub.eu/workflows/454?version=1	Andrey Prjibelski, Varsha Kale, Anton Korobeynikov	Nextflow	metagenomics, multi-omics, expression, metatranscriptomics	2023-04-12	2023-04-13	1	1	0				MIT		HoloFood at MGnify	metage.* in tags	
RetroSynthesis	WorkflowHub	24	https:/workflowhub.eu/workflows/24?version=1	Melchior du Lac	Galaxy	retrosynthesis, synthetic biology, metabolic engineering, pathway design, pathway prediction	2020-05-29	2023-01-16	1	1	7	"
 makeSource, 
 rpCofactors, 
 rpExtractSink, 
 retropath2, 
 rp2paths, 
 retrorules, 
 rpReader"			MIT		IBISBA Workflows	metab.* in tags	
Genetic Design	WorkflowHub	23	https:/workflowhub.eu/workflows/23?version=1	Melchior du Lac	Galaxy	retrosynthesis, genetic design, pathway prediction	2020-05-29	2023-01-16	1	1	7	"
 PartsGenie, 
 rpOptBioDes, 
 LCRGenie, 
 DNAWeaver, 
 rpSelenzyme, 
 rpSBMLtoSBOL, 
 extractTaxonomy"			MIT		IBISBA Workflows	plasmid.* in description	False
COVID-19: read pre-processing	WorkflowHub	99	https:/workflowhub.eu/workflows/99?version=1		Galaxy		2021-02-02	2023-02-13	1	1	4	samtools_fastx, bwa_mem, trim_galore, samtool_filter2			Apache-2.0		IBISBA Workflows	metage.* in description	False
Pathway Ranker	WorkflowHub	25	https:/workflowhub.eu/workflows/25?version=1	Melchior du Lac	Galaxy	retrosynthesis, synthetic biology, metabolic engineering, pathway design, pathway prediction	2020-05-29	2023-01-16	1	1	12	"
 makeSource, 
 rpReport, 
 rpCofactors, 
 rpExtractSink, 
 retropath2, 
 rp2paths, 
 rpFBA, 
 rpGlobalScore, 
 rpVisualiser, 
 rpThermo, 
 retrorules, 
 rpReader"			MIT		IBISBA Workflows	metab.* in tags	
Object tracking using CellProfiler	WorkflowHub	115	https:/workflowhub.eu/workflows/115?version=1		Galaxy	cellprofiler, galaxy, image processing, imaging	2021-03-21	2023-07-03	1	1	12	cp_identify_primary_objects, cp_overlay_outlines, cp_color_to_gray, unzip, cp_measure_object_intensity, cp_cellprofiler, cp_common, cp_track_objects, cp_tile, cp_measure_object_size_shape, cp_save_images, cp_export_to_spreadsheet		Bioimaging, Imaging	Apache-2.0		IBISBA Workflows, Euro-BioImaging	profil.* in description	
SNP-Calling Workflow	WorkflowHub	442	https:/workflowhub.eu/workflows/442?version=1		Nextflow	bwa-mem, gatk4, rice, variant calling	2023-03-21	2023-03-21	1	1	0	GATK, BWA			MIT		IRRI Bioinformatics Group	profil.* in description	
1: Plant virus detection with kraken2 (SE)	WorkflowHub	124	https:/workflowhub.eu/workflows/124?version=1		Galaxy	virology, kraken	2021-06-17	2023-02-13	1	1	3	Kraken2Tax, kraken2, taxonomy_krona_chart			Apache-2.0		Integrated and Urban Plant Pathology Laboratory	metage.* in description	True
1: Plant virus detection with kraken2 (PE)	WorkflowHub	101	https:/workflowhub.eu/workflows/101?version=1		Galaxy	virology, kraken	2021-02-04	2023-02-13	1	1	3	Kraken2Tax, kraken2, taxonomy_krona_chart			Apache-2.0		Integrated and Urban Plant Pathology Laboratory	metage.* in description	True
mapseq-to-ampvis2/main	WorkflowHub	1275	https:/workflowhub.eu/workflows/1275?version=2	Rand Zoabi, Mara Besemer	Galaxy		2025-03-26	2025-08-18	2	2	9	collection_column_join, ampvis2_load, tp_awk_tool, query_tabular, collapse_dataset			MIT		Intergalactic Workflow Commission (IWC)	OTU in description	True
taxonomic-rank-abundance-summary-table/main	WorkflowHub	1296	https:/workflowhub.eu/workflows/1296?version=2	Rand Zoabi	Galaxy		2025-03-26	2025-08-18	2	2	8	collection_column_join, Grouping1, tp_awk_tool, filter_tabular, map_param_value			MIT		Intergalactic Workflow Commission (IWC)	OTU in description	True
qiime2-II-denoising/IIa-denoising-se	WorkflowHub	892	https:/workflowhub.eu/workflows/892?version=3	Debjyoti Ghosh	Galaxy		2024-11-27	2025-08-18	3	3	4	qiime2__metadata__tabulate, qiime2__feature_table__tabulate_seqs, qiime2__dada2__denoise_single, qiime2__feature_table__summarize			MIT		Intergalactic Workflow Commission (IWC)	Amplicon in description	True
dada2/main	WorkflowHub	790	https:/workflowhub.eu/workflows/790?version=3	Matthias Bernt	Galaxy	name:amplicon	2025-03-26	2025-08-18	3	3	14	dada2_assignTaxonomyAddspecies, dada2_removeBimeraDenovo, dada2_learnErrors, __APPLY_RULES__, dada2_mergePairs, __UNZIP_COLLECTION__, dada2_makeSequenceTable, dada2_plotQualityProfile, dada2_filterAndTrim, dada2_dada, dada2_seqCounts			MIT		Intergalactic Workflow Commission (IWC)	Amplicon in tags	True
kmer-profiling-hifi-VGP1/main	WorkflowHub	632	https:/workflowhub.eu/workflows/632?version=13	VGP,  Galaxy	Galaxy		2025-10-31	2025-10-31	13	13	17	compose_text_param, , imagemagick_image_montage, meryl_count_kmers, param_value_from_file, rdeval_report, rdeval, meryl_histogram_kmers, meryl_groups_kmers, genomescope			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	profil.* in name	False
Assembly-Hifi-HiC-phasing-VGP4/main	WorkflowHub	641	https:/workflowhub.eu/workflows/641?version=31	Delphine Lariviere	Galaxy	reviewed, vgp	2025-10-08	2025-10-08	31	31	32	tp_replace_in_line, , Paste1, Add_a_column1, param_value_from_file, tp_sed_tool, Cut1, tp_grep_tool, multiqc, bandage_image, Convert characters1, tp_awk_tool, busco, cutadapt, merqury, hifiasm, gfastats			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	profil.* in description	False
allele-based-pathogen-identification/main	WorkflowHub	1063	https:/workflowhub.eu/workflows/1063?version=5	Engy Nasr, Bérénice Batut, Paul Zierep	Galaxy		2025-03-26	2025-08-18	5	5	23	tp_head_tool, Paste1, Cut1, clair3, table_compute, regexColumn1, CONVERTER_gz_to_uncompressed, bcftools_norm, Remove beginning1, Count1, samtools_coverage, snpSift_filter, bcftools_consensus, minimap2, samtools_depth, snpSift_extractFields, tp_cut_tool, collapse_dataset			MIT		Intergalactic Workflow Commission (IWC)	microbiom.* in description	True
Assembly-Hifi-only-VGP3/main	WorkflowHub	612	https:/workflowhub.eu/workflows/612?version=25	Galaxy,  VGP	Galaxy		2025-10-01	2025-10-01	25	25	45	, join1, Convert characters1, compleasm, pick_value, Cut1, bandage_image, tp_awk_tool, gfastats, __EXTRACT_DATASET__, compose_text_param, tp_replace_in_line, param_value_from_file, tp_grep_tool, merqury, cutadapt, tp_find_and_replace, Add_a_column1, multiqc, busco, hifiasm, tp_cut_tool			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	profil.* in description	False
Assembly-Hifi-Trio-phasing-VGP5/main	WorkflowHub	642	https:/workflowhub.eu/workflows/642?version=25	Galaxy,  VGP	Galaxy		2025-10-01	2025-10-01	25	25	47	, join1, Convert characters1, compleasm, pick_value, Cut1, bandage_image, tp_awk_tool, gfastats, __EXTRACT_DATASET__, compose_text_param, tp_replace_in_line, param_value_from_file, tp_grep_tool, merqury, cutadapt, tp_find_and_replace, Add_a_column1, multiqc, busco, hifiasm, tp_cut_tool			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	profil.* in description	False
mgnify-amplicon-pipeline-v5-complete/main	WorkflowHub	1274	https:/workflowhub.eu/workflows/1274?version=2	Rand Zoabi, Paul Zierep	Galaxy		2025-03-26	2025-08-18	2	2	20	, CONVERTER_uncompressed_to_gz, CONVERTER_gz_to_uncompressed, __MERGE_COLLECTION__, tp_awk_tool, fastq_dl			Apache-2.0		Intergalactic Workflow Commission (IWC)	Amplicon in name	True
mgnify-amplicon-pipeline-v5-its/main	WorkflowHub	1273	https:/workflowhub.eu/workflows/1273?version=2	Rand Zoabi, Paul Zierep	Galaxy		2025-03-26	2025-08-18	2	2	30	, biom_convert, taxonomy_krona_chart, mapseq, __FILTER_FROM_FILE__, bedtools_maskfastabed, collection_element_identifiers, tp_awk_tool, __FILTER_EMPTY_DATASETS__			Apache-2.0		Intergalactic Workflow Commission (IWC)	Amplicon in name	True
mgnify-amplicon-pipeline-v5-rrna-prediction/main	WorkflowHub	1270	https:/workflowhub.eu/workflows/1270?version=2	Rand Zoabi, Paul Zierep	Galaxy		2025-03-26	2025-08-18	2	2	47	gops_concat_1, , infernal_cmsearch, cmsearch_deoverlap, biom_convert, taxonomy_krona_chart, __FILTER_FROM_FILE__, mapseq, collection_element_identifiers, tp_awk_tool, query_tabular, bedtools_getfastabed, __FILTER_EMPTY_DATASETS__, cshl_fasta_formatter			Apache-2.0		Intergalactic Workflow Commission (IWC)	Amplicon in name	True
mgnify-amplicon-pipeline-v5-quality-control-single-end/main	WorkflowHub	1271	https:/workflowhub.eu/workflows/1271?version=3	Rand Zoabi, Paul Zierep	Galaxy		2025-03-26	2025-08-18	3	3	14	tp_find_and_replace, fastq_to_fasta_python, prinseq, trimmomatic, multiqc, fastqc, fastq_filter, cshl_fasta_formatter			Apache-2.0		Intergalactic Workflow Commission (IWC)	Amplicon in name	True
mags-building/main	WorkflowHub	1352	https:/workflowhub.eu/workflows/1352?version=4	Bérénice Batut, Paul Zierep, Mina Hojat Ansari, Patrick Bühler, Santino Faack	Galaxy		2025-11-22	2025-11-22	4	4	36	bakta, checkm2, coverm_genome, drep_dereplicate, __FLATTEN__, map_param_value, collection_column_join, pick_value, __BUILD_LIST__, tp_awk_tool, __UNZIP_COLLECTION__, metabat2, quast, concoct_coverage_table, bowtie2, gtdbtk_classify_wf, samtools_sort, Fasta_to_Contig2Bin, concoct, metabat2_jgi_summarize_bam_contig_depths, multiqc, maxbin2, concoct_extract_fasta_bins, binette, megahit, concoct_cut_up_fasta, checkm_lineage_wf, semibin, concoct_merge_cut_up_clustering, metaspades			MIT		Intergalactic Workflow Commission (IWC)	MAGs in name	False
mgnify-amplicon-taxonomic-summary-tables/main	WorkflowHub	1269	https:/workflowhub.eu/workflows/1269?version=2	Rand Zoabi	Galaxy		2025-03-26	2025-08-18	2	2	10	collection_column_join, Grouping1, tp_awk_tool, filter_tabular, query_tabular			MIT		Intergalactic Workflow Commission (IWC)	Amplicon in name	True
clinicalmp-discovery/main	WorkflowHub	1225	https:/workflowhub.eu/workflows/1225?version=1	Subina Mehta	Galaxy		2024-12-10	2025-08-18	1	1	24	dbbuilder, fasta_cli, fasta2tab, Grouping1, peptide_shaker, Cut1, Filter1, ident_params, search_gui, Grep1, fasta_merge_files_and_filter_unique_sequences, Remove beginning1, msconvert, filter_tabular, query_tabular, tp_cat, maxquant			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	metap.* in description	True
amr_gene_detection/main	WorkflowHub	1049	https:/workflowhub.eu/workflows/1049?version=8	ABRomics None, Pierre Marin, Clea Siguret	Galaxy	abromics, amr, amr-detection, genomics, antibiotic-resistance, antimicrobial resistance, antimicrobial-resistance-genes, bacterial-genomics, fasta	2025-09-18	2025-09-18	8	8	5	tooldistillator, abricate, tooldistillator_summarize, staramr_search, amrfinderplus			GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	amr in tags	True
clinicalmp-verification/main	WorkflowHub	1218	https:/workflowhub.eu/workflows/1218?version=1	Pratik Jagtap	Galaxy		2024-11-26	2025-08-18	1	1	19	dbbuilder, Grouping1, uniprotxml_downloader, Cut1, Filter1, Remove beginning1, fasta_merge_files_and_filter_unique_sequences, pepquery2, query_tabular, tp_cat, collapse_dataset			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	metap.* in description	True
clinicalmp-quantitation/main	WorkflowHub	1177	https:/workflowhub.eu/workflows/1177?version=1	GalaxyP	Galaxy		2024-10-07	2025-08-18	1	1	7	"Quantified-Peptides
Grouping1, extract peptides
Cut1, Quantified-Proteins
Grouping1, extracting microbial Peptides
Grep1, extracting microbial Proteins
Grep1, maxquant, extract proteins
Cut1"			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	metap.* in description	True
sars-cov-2-pe-illumina-artic-variant-calling/COVID-19-PE-ARTIC-ILLUMINA	WorkflowHub	110	https:/workflowhub.eu/workflows/110?version=11	Wolfgang Maier	Galaxy	artic, by-covid, covid-19, covid19.galaxyproject.org	2025-03-26	2025-08-18	11	11	25	"samtools_stats, bwa_mem, lofreq_indelqual, snpSift_filter, 
 __FILTER_FAILED_DATASETS__, snpeff_sars_cov_2, lofreq_call, compose_text_param, samtools_view, lofreq_viterbi, tp_replace_in_line, vcfvcfintersect, fastp, qualimap_bamqc, lofreq_filter, ivar_trim, 
 __FLATTEN__, multiqc, bcftools_annotate, ivar_removereads"			MIT		Intergalactic Workflow Commission (IWC)	Amplicon in description	False
nanopore-pre-processing/main	WorkflowHub	1061	https:/workflowhub.eu/workflows/1061?version=1	Bérénice Batut, Engy Nasr, Paul Zierep	Galaxy		2024-06-26	2025-08-18	1	1	25	bamtools_split_mapped, krakentools_extract_kraken_reads, kraken2, collection_column_join, Add_a_column1, Cut1, regexColumn1, multiqc, porechop, samtools_fastx, __FILTER_FAILED_DATASETS__, fastqc, Grep1, fastp, minimap2, nanoplot, collapse_dataset			MIT	10.48546/workflowhub.workflow.1061.1	Intergalactic Workflow Commission (IWC)	microbiom.* in description	True
taxonomy-profiling-and-visualization-with-krona/main	WorkflowHub	1059	https:/workflowhub.eu/workflows/1059?version=1	Engy Nasr, Bérénice Batut, Paul Zierep	Galaxy		2024-06-26	2025-08-18	1	1	3	krakentools_kreport2krona, kraken2, taxonomy_krona_chart			MIT	10.48546/workflowhub.workflow.1059.1	Intergalactic Workflow Commission (IWC)	profil.* in name	True
mgnify-amplicon-pipeline-v5-quality-control-paired-end/main	WorkflowHub	1272	https:/workflowhub.eu/workflows/1272?version=2	Rand Zoabi, Paul Zierep	Galaxy		2025-03-26	2025-08-18	2	2	17	tp_find_and_replace, fastq_to_fasta_python, trimmomatic, prinseq, multiqc, fastqc, __UNZIP_COLLECTION__, mgnify_seqprep, fastq_filter, fastp, cshl_fasta_formatter			Apache-2.0		Intergalactic Workflow Commission (IWC)	Amplicon in name	True
kmer-profiling-hifi-trio-VGP2/main	WorkflowHub	631	https:/workflowhub.eu/workflows/631?version=6	VGP,  Galaxy	Galaxy		2025-05-10	2025-08-18	6	6	11	pick_value, meryl_count_kmers, meryl, meryl_histogram_kmers, meryl_groups_kmers, genomescope			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	profil.* in name	False
bacterial_genome_annotation/main	WorkflowHub	1050	https:/workflowhub.eu/workflows/1050?version=12	ABRomics None, Pierre Marin, Clea Siguret	Galaxy	abromics, annotation, genomics, bacterial-genomics, fasta, genome-annotation	2025-07-31	2025-08-18	12	12	6	tooldistillator, integron_finder, tooldistillator_summarize, isescan, bakta, plasmidfinder			GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	plasmid.* in description	True
openms-metaprosip/main	WorkflowHub	613	https:/workflowhub.eu/workflows/613?version=2	Matthias Bernt	Galaxy		2024-06-22	2025-08-18	2	2	8	PeptideIndexer, IDMapper, DecoyDatabase, MetaProSIP, __SORTLIST__, FeatureFinderMultiplex, MSGFPlusAdapter, FalseDiscoveryRate			MIT		Intergalactic Workflow Commission (IWC)	metap.* in name	True
sars-cov-2-pe-illumina-artic-ivar-analysis/SARS-COV-2-ILLUMINA-AMPLICON-IVAR-PANGOLIN-NEXTCLADE	WorkflowHub	155	https:/workflowhub.eu/workflows/155?version=6	Peter van Heusden	Galaxy	virology	2025-07-31	2025-08-19	6	6	16	samtools_view, qualimap_bamqc, samtools_stats, tp_sed_tool, nextclade, ivar_trim, multiqc, bwa_mem, snpeff_sars_cov_2, ivar_consensus, ivar_variants, fastp, __FLATTEN__, pangolin, tp_cat			MIT		Intergalactic Workflow Commission (IWC)	Amplicon in name	False
